"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,527","±233","1,527","(X)"
"        Occupied housing units","1,318","±232","86.3%","±8.0"
"        Vacant housing units","209","±129","13.7%","±8.0"
"        Homeowner vacancy rate","0.0","±14.6","(X)","(X)"
"        Rental vacancy rate","0.0","±3.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,527","±233","1,527","(X)"
"        1-unit, detached","33","±39","2.2%","±2.6"
"        1-unit, attached","422","±149","27.6%","±8.5"
"        2 units","22","±33","1.4%","±2.1"
"        3 or 4 units","132","±60","8.6%","±4.3"
"        5 to 9 units","75","±62","4.9%","±4.2"
"        10 to 19 units","127","±107","8.3%","±6.5"
"        20 or more units","716","±182","46.9%","±9.2"
"        Mobile home","0","±13","0.0%","±2.6"
"        Boat, RV, van, etc.","0","±13","0.0%","±2.6"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,527","±233","1,527","(X)"
"        Built 2020 or later","0","±13","0.0%","±2.6"
"        Built 2010 to 2019","186","±109","12.2%","±6.6"
"        Built 2000 to 2009","106","±67","6.9%","±4.5"
"        Built 1990 to 1999","121","±63","7.9%","±4.4"
"        Built 1980 to 1989","235","±144","15.4%","±8.5"
"        Built 1970 to 1979","434","±175","28.4%","±9.4"
"        Built 1960 to 1969","152","±79","10.0%","±5.3"
"        Built 1950 to 1959","0","±13","0.0%","±2.6"
"        Built 1940 to 1949","101","±69","6.6%","±4.6"
"        Built 1939 or earlier","192","±83","12.6%","±5.7"
"ROOMS","","","",""
"    Total housing units","1,527","±233","1,527","(X)"
"        1 room","169","±93","11.1%","±6.4"
"        2 rooms","92","±110","6.0%","±6.8"
"        3 rooms","364","±151","23.8%","±8.3"
"        4 rooms","475","±103","31.1%","±7.3"
"        5 rooms","222","±145","14.5%","±8.7"
"        6 rooms","122","±65","8.0%","±4.4"
"        7 rooms","0","±13","0.0%","±2.6"
"        8 rooms","19","±30","1.2%","±2.0"
"        9 rooms or more","64","±53","4.2%","±3.5"
"        Median rooms","3.8","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,527","±233","1,527","(X)"
"        No bedroom","184","±93","12.0%","±6.5"
"        1 bedroom","435","±167","28.5%","±8.9"
"        2 bedrooms","575","±143","37.7%","±8.5"
"        3 bedrooms","190","±125","12.4%","±7.6"
"        4 bedrooms","79","±51","5.2%","±3.2"
"        5 or more bedrooms","64","±53","4.2%","±3.5"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,318","±232","1,318","(X)"
"        Owner-occupied","88","±49","6.7%","±3.8"
"        Renter-occupied","1,230","±235","93.3%","±3.8"
"        Average household size of owner-occupied unit","1.39","±0.36","(X)","(X)"
"        Average household size of renter-occupied unit","2.12","±0.29","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,318","±232","1,318","(X)"
"        Moved in 2019 or later","175","±129","13.3%","±9.0"
"        Moved in 2015 to 2018","302","±107","22.9%","±7.6"
"        Moved in 2010 to 2014","318","±176","24.1%","±11.2"
"        Moved in 2000 to 2009","363","±108","27.5%","±8.7"
"        Moved in 1990 to 1999","76","±53","5.8%","±4.1"
"        Moved in 1989 and earlier","84","±44","6.4%","±3.5"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,318","±232","1,318","(X)"
"        No vehicles available","566","±159","42.9%","±10.4"
"        1 vehicle available","576","±155","43.7%","±10.0"
"        2 vehicles available","154","±115","11.7%","±7.6"
"        3 or more vehicles available","22","±32","1.7%","±2.4"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,318","±232","1,318","(X)"
"        Utility gas","657","±171","49.8%","±10.2"
"        Bottled, tank, or LP gas","23","±35","1.7%","±2.6"
"        Electricity","599","±184","45.4%","±10.2"
"        Fuel oil, kerosene, etc.","30","±34","2.3%","±2.6"
"        Coal or coke","0","±13","0.0%","±3.0"
"        Wood","0","±13","0.0%","±3.0"
"        Solar energy","0","±13","0.0%","±3.0"
"        Other fuel","9","±14","0.7%","±1.1"
"        No fuel used","0","±13","0.0%","±3.0"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,318","±232","1,318","(X)"
"        Lacking complete plumbing facilities","0","±13","0.0%","±3.0"
"        Lacking complete kitchen facilities","13","±21","1.0%","±1.6"
"        No telephone service available","17","±25","1.3%","±1.9"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,318","±232","1,318","(X)"
"        1.00 or less","1,284","±231","97.4%","±3.0"
"        1.01 to 1.50","3","±8","0.2%","±0.6"
"        1.51 or more","31","±40","2.4%","±3.0"
"VALUE","","","",""
"    Owner-occupied units","88","±49","88","(X)"
"        Less than $50,000","0","±13","0.0%","±34.6"
"        $50,000 to $99,999","0","±13","0.0%","±34.6"
"        $100,000 to $149,999","0","±13","0.0%","±34.6"
"        $150,000 to $199,999","0","±13","0.0%","±34.6"
"        $200,000 to $299,999","29","±38","33.0%","±36.8"
"        $300,000 to $499,999","18","±23","20.5%","±23.4"
"        $500,000 to $999,999","41","±34","46.6%","±35.9"
"        $1,000,000 or more","0","±13","0.0%","±34.6"
"        Median (dollars)","383,300","±324,882","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","88","±49","88","(X)"
"        Housing units with a mortgage","88","±49","100.0%","±34.6"
"        Housing units without a mortgage","0","±13","0.0%","±34.6"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","88","±49","88","(X)"
"        Less than $500","0","±13","0.0%","±34.6"
"        $500 to $999","16","±24","18.2%","±24.4"
