"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,387","±40","1,387","(X)"
"        Occupied housing units","1,346","±67","97.0%","±3.2"
"        Vacant housing units","41","±45","3.0%","±3.2"
"    Homeowner vacancy rate","0.0","±18.9","(X)","(X)"
"    Rental vacancy rate","1.9","±3.0","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,387","±40","1,387","(X)"
"        1-unit, detached","11","±16","0.8%","±1.1"
"        1-unit, attached","387","±85","27.9%","±6.1"
"        2 units","54","±34","3.9%","±2.4"
"        3 or 4 units","84","±47","6.1%","±3.4"
"        5 to 9 units","68","±50","4.9%","±3.6"
"        10 to 19 units","54","±38","3.9%","±2.7"
"        20 or more units","729","±91","52.6%","±6.6"
"        Mobile home","0","±12","0.0%","±2.3"
"        Boat, RV, van, etc.","0","±12","0.0%","±2.3"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,387","±40","1,387","(X)"
"        Built 2014 or later","0","±12","0.0%","±2.3"
"        Built 2010 to 2013","7","±13","0.5%","±0.9"
"        Built 2000 to 2009","192","±64","13.8%","±4.6"
"        Built 1990 to 1999","282","±92","20.3%","±6.5"
"        Built 1980 to 1989","201","±80","14.5%","±5.8"
"        Built 1970 to 1979","217","±80","15.6%","±5.9"
"        Built 1960 to 1969","151","±61","10.9%","±4.3"
"        Built 1950 to 1959","36","±34","2.6%","±2.4"
"        Built 1940 to 1949","0","±12","0.0%","±2.3"
"        Built 1939 or earlier","301","±87","21.7%","±6.2"
"ROOMS","","","",""
"    Total housing units","1,387","±40","1,387","(X)"
"        1 room","179","±67","12.9%","±4.9"
"        2 rooms","125","±57","9.0%","±4.1"
"        3 rooms","279","±82","20.1%","±5.8"
"        4 rooms","287","±78","20.7%","±5.7"
"        5 rooms","321","±87","23.1%","±6.4"
"        6 rooms","169","±62","12.2%","±4.4"
"        7 rooms","27","±26","1.9%","±1.9"
"        8 rooms","0","±12","0.0%","±2.3"
"        9 rooms or more","0","±12","0.0%","±2.3"
"        Median rooms","3.9","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,387","±40","1,387","(X)"
"        No bedroom","190","±69","13.7%","±5.0"
"        1 bedroom","341","±74","24.6%","±5.2"
"        2 bedrooms","564","±88","40.7%","±6.3"
"        3 bedrooms","247","±69","17.8%","±5.0"
"        4 bedrooms","45","±30","3.2%","±2.2"
"        5 or more bedrooms","0","±12","0.0%","±2.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,346","±67","1,346","(X)"
"        Owner-occupied","154","±63","11.4%","±4.6"
"        Renter-occupied","1,192","±83","88.6%","±4.6"
"    Average household size of owner-occupied unit","2.51","±0.74","(X)","(X)"
"    Average household size of renter-occupied unit","2.15","±0.17","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,346","±67","1,346","(X)"
"        Moved in 2015 or later","20","±32","1.5%","±2.4"
"        Moved in 2010 to 2014","410","±102","30.5%","±7.3"
"        Moved in 2000 to 2009","728","±121","54.1%","±8.5"
"        Moved in 1990 to 1999","113","±69","8.4%","±5.1"
"        Moved in 1980 to 1989","24","±22","1.8%","±1.7"
"        Moved in 1979 and earlier","51","±43","3.8%","±3.3"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,346","±67","1,346","(X)"
"        No vehicles available","730","±107","54.2%","±7.3"
"        1 vehicle available","486","±106","36.1%","±7.6"
"        2 vehicles available","123","±64","9.1%","±4.8"
"        3 or more vehicles available","7","±12","0.5%","±0.9"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,346","±67","1,346","(X)"
"        Utility gas","636","±101","47.3%","±6.9"
"        Bottled, tank, or LP gas","33","±39","2.5%","±2.9"
"        Electricity","598","±108","44.4%","±7.7"
"        Fuel oil, kerosene, etc.","48","±42","3.6%","±3.2"
"        Coal or coke","0","±12","0.0%","±2.4"
"        Wood","0","±12","0.0%","±2.4"
"        Solar energy","0","±12","0.0%","±2.4"
"        Other fuel","21","±23","1.6%","±1.7"
"        No fuel used","10","±16","0.7%","±1.2"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,346","±67","1,346","(X)"
"        Lacking complete plumbing facilities","0","±12","0.0%","±2.4"
"        Lacking complete kitchen facilities","24","±26","1.8%","±1.9"
"        No telephone service available","12","±16","0.9%","±1.2"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,346","±67","1,346","(X)"
"        1.00 or less","1,295","±76","96.2%","±3.0"
"        1.01 to 1.50","21","±23","1.6%","±1.7"
"        1.51 or more","30","±33","2.2%","±2.5"
"VALUE","","","",""
"    Owner-occupied units","154","±63","154","(X)"
"        Less than $50,000","0","±12","0.0%","±18.9"
"        $50,000 to $99,999","0","±12","0.0%","±18.9"
"        $100,000 to $149,999","6","±10","3.9%","±6.3"
"        $150,000 to $199,999","47","±48","30.5%","±25.1"
"        $200,000 to $299,999","16","±22","10.4%","±13.1"
"        $300,000 to $499,999","58","±31","37.7%","±21.2"
"        $500,000 to $999,999","27","±28","17.5%","±17.5"
"        $1,000,000 or more","0","±12","0.0%","±18.9"
"        Median (dollars)","322,200","±163,760","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","154","±63","154","(X)"
"        Housing units with a mortgage","141","±64","91.6%","±9.2"
"        Housing units without a mortgage","13","±13","8.4%","±9.2"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","141","±64","141","(X)"
"        Less than $500","0","±12","0.0%","±20.4"
"        $500 to $999","11","±17","7.8%","±11.8"
"        $1,000 to $1,499","57","±47","40.4%","±23.9"
"        $1,500 to $1,999","12","±18","8.5%","±12.0"
"        $2,000 to $2,499","23","±21","16.3%","±15.3"
"        $2,500 to $2,999","38","±27","27.0%","±19.3"
"        $3,000 or more","0","±12","0.0%","±20.4"
"        Median (dollars)","1,802","±851","(X)","(X)"
"    Housing units without a mortgage","13","±13","13","(X)"
"        Less than $250","0","±12","0.0%","±82.3"
"        $250 to $399","0","±12","0.0%","±82.3"
