"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,324","±42","1,324","(X)"
"    Occupied housing units","1,163","±111","87.8%","±7.9"
"    Vacant housing units","161","±104","12.2%","±7.9"
"    Homeowner vacancy rate","17.6","±26.9","(X)","(X)"
"    Rental vacancy rate","6.9","±5.9","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,324","±42","1,324","(X)"
"    1-unit, detached","26","±29","2.0%","±2.2"
"    1-unit, attached","305","±91","23.0%","±6.9"
"    2 units","77","±65","5.8%","±4.9"
"    3 or 4 units","53","±38","4.0%","±2.9"
"    5 to 9 units","68","±47","5.1%","±3.6"
"    10 to 19 units","29","±28","2.2%","±2.2"
"    20 or more units","766","±97","57.9%","±7.3"
"    Mobile home","0","±95","0.0%","±2.8"
"    Boat, RV, van, etc.","0","±95","0.0%","±2.8"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,324","±42","1,324","(X)"
"    Built 2005 or later","10","±16","0.8%","±1.2"
"    Built 2000 to 2004","162","±67","12.2%","±5.1"
"    Built 1990 to 1999","165","±62","12.5%","±4.7"
"    Built 1980 to 1989","173","±86","13.1%","±6.6"
"    Built 1970 to 1979","249","±87","18.8%","±6.6"
"    Built 1960 to 1969","181","±84","13.7%","±6.4"
"    Built 1950 to 1959","68","±55","5.1%","±4.2"
"    Built 1940 to 1949","0","±95","0.0%","±2.8"
"    Built 1939 or earlier","316","±131","23.9%","±9.7"
"ROOMS","","","",""
"    Total housing units","1,324","±42","1,324","(X)"
"    1 room","271","±90","20.5%","±6.8"
"    2 rooms","59","±35","4.5%","±2.7"
"    3 rooms","282","±93","21.3%","±7.1"
"    4 rooms","373","±109","28.2%","±8.1"
"    5 rooms","157","±79","11.9%","±6.0"
"    6 rooms","125","±63","9.4%","±4.8"
"    7 rooms","44","±26","3.3%","±2.0"
"    8 rooms","0","±95","0.0%","±2.8"
"    9 rooms or more","13","±20","1.0%","±1.5"
"    Median rooms","3.6","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,324","±42","1,324","(X)"
"    No bedroom","271","±90","20.5%","±6.8"
"    1 bedroom","299","±83","22.6%","±6.2"
"    2 bedrooms","569","±104","43.0%","±7.8"
"    3 bedrooms","152","±58","11.5%","±4.4"
"    4 bedrooms","20","±22","1.5%","±1.7"
"    5 or more bedrooms","13","±19","1.0%","±1.4"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,163","±111","1,163","(X)"
"    Owner-occupied","145","±59","12.5%","±4.9"
"    Renter-occupied","1,018","±110","87.5%","±4.9"
"    Average household size of owner-occupied unit","1.59","±0.60","(X)","(X)"
"    Average household size of renter-occupied unit","2.06","±0.20","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
