"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,332","±52","1,332","(X)"
"        Occupied housing units","1,245","±86","93.5%","±4.8"
"        Vacant housing units","87","±63","6.5%","±4.8"
"    Homeowner vacancy rate","0.0","±23.6","(X)","(X)"
"    Rental vacancy rate","5.3","±4.4","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,332","±52","1,332","(X)"
"        1-unit, detached","0","±12","0.0%","±2.6"
"        1-unit, attached","327","±86","24.5%","±6.3"
"        2 units","99","±74","7.4%","±5.5"
"        3 or 4 units","85","±54","6.4%","±4.0"
"        5 to 9 units","84","±53","6.3%","±4.0"
"        10 to 19 units","44","±31","3.3%","±2.3"
"        20 or more units","693","±108","52.0%","±7.8"
"        Mobile home","0","±12","0.0%","±2.6"
"        Boat, RV, van, etc.","0","±12","0.0%","±2.6"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,332","±52","1,332","(X)"
"        Built 2010 or later","0","±12","0.0%","±2.6"
"        Built 2000 to 2009","228","±86","17.1%","±6.4"
"        Built 1990 to 1999","208","±96","15.6%","±7.1"
"        Built 1980 to 1989","208","±93","15.6%","±6.9"
"        Built 1970 to 1979","242","±78","18.2%","±5.8"
"        Built 1960 to 1969","106","±53","8.0%","±4.0"
"        Built 1950 to 1959","65","±47","4.9%","±3.5"
"        Built 1940 to 1949","0","±12","0.0%","±2.6"
"        Built 1939 or earlier","275","±107","20.6%","±7.9"
"ROOMS","","","",""
"    Total housing units","1,332","±52","1,332","(X)"
"        1 room","203","±98","15.2%","±7.3"
"        2 rooms","79","±45","5.9%","±3.3"
"        3 rooms","352","±95","26.4%","±7.0"
"        4 rooms","277","±88","20.8%","±6.5"
"        5 rooms","312","±94","23.4%","±7.0"
"        6 rooms","98","±50","7.4%","±3.8"
"        7 rooms","11","±16","0.8%","±1.2"
"        8 rooms","0","±12","0.0%","±2.6"
"        9 rooms or more","0","±12","0.0%","±2.6"
"        Median rooms","3.6","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,332","±52","1,332","(X)"
"        No bedroom","213","±94","16.0%","±6.9"
"        1 bedroom","359","±93","27.0%","±6.8"
"        2 bedrooms","543","±103","40.8%","±7.9"
"        3 bedrooms","177","±68","13.3%","±4.9"
"        4 bedrooms","29","±23","2.2%","±1.7"
"        5 or more bedrooms","11","±16","0.8%","±1.2"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,245","±86","1,245","(X)"
"        Owner-occupied","128","±59","10.3%","±4.8"
"        Renter-occupied","1,117","±106","89.7%","±4.8"
"    Average household size of owner-occupied unit","1.58","±0.37","(X)","(X)"
"    Average household size of renter-occupied unit","2.05","±0.21","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,245","±86","1,245","(X)"
"        Moved in 2010 or later","217","±68","17.4%","±5.5"
"        Moved in 2000 to 2009","734","±134","59.0%","±9.4"
"        Moved in 1990 to 1999","157","±85","12.6%","±6.6"
"        Moved in 1980 to 1989","86","±62","6.9%","±5.1"
"        Moved in 1970 to 1979","51","±41","4.1%","±3.3"
"        Moved in 1969 or earlier","0","±12","0.0%","±2.8"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,245","±86","1,245","(X)"
"        No vehicles available","756","±125","60.7%","±9.4"
"        1 vehicle available","432","±117","34.7%","±8.7"
"        2 vehicles available","49","±36","3.9%","±2.9"
"        3 or more vehicles available","8","±13","0.6%","±1.0"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,245","±86","1,245","(X)"
"        Utility gas","604","±122","48.5%","±9.8"
"        Bottled, tank, or LP gas","21","±29","1.7%","±2.3"
"        Electricity","551","±127","44.3%","±9.3"
"        Fuel oil, kerosene, etc.","39","±39","3.1%","±3.1"
"        Coal or coke","0","±12","0.0%","±2.8"
"        Wood","0","±12","0.0%","±2.8"
"        Solar energy","0","±12","0.0%","±2.8"
"        Other fuel","30","±34","2.4%","±2.7"
"        No fuel used","0","±12","0.0%","±2.8"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,245","±86","1,245","(X)"
"        Lacking complete plumbing facilities","39","±60","3.1%","±4.8"
"        Lacking complete kitchen facilities","39","±60","3.1%","±4.8"
"        No telephone service available","54","±64","4.3%","±5.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,245","±86","1,245","(X)"
"        1.00 or less","1,194","±98","95.9%","±4.2"
"        1.01 to 1.50","5","±8","0.4%","±0.7"
"        1.51 or more","46","±51","3.7%","±4.1"
"VALUE","","","",""
"    Owner-occupied units","128","±59","128","(X)"
"        Less than $50,000","0","±12","0.0%","±23.6"
"        $50,000 to $99,999","0","±12","0.0%","±23.6"
"        $100,000 to $149,999","8","±15","6.3%","±11.4"
"        $150,000 to $199,999","35","±30","27.3%","±24.7"
"        $200,000 to $299,999","26","±30","20.3%","±20.8"
"        $300,000 to $499,999","50","±48","39.1%","±28.4"
"        $500,000 to $999,999","9","±14","7.0%","±11.4"
"        $1,000,000 or more","0","±12","0.0%","±23.6"
"        Median (dollars)","275,000","±124,377","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","128","±59","128","(X)"
"        Housing units with a mortgage","125","±60","97.7%","±4.7"
"        Housing units without a mortgage","3","±5","2.3%","±4.7"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","125","±60","125","(X)"
"        Less than $300","0","±12","0.0%","±24.1"
"        $300 to $499","0","±12","0.0%","±24.1"
"        $500 to $699","0","±12","0.0%","±24.1"
"        $700 to $999","10","±15","8.0%","±13.9"
"        $1,000 to $1,499","32","±31","25.6%","±22.3"
"        $1,500 to $1,999","0","±12","0.0%","±24.1"
"        $2,000 or more","83","±59","66.4%","±27.9"
"        Median (dollars)","2,301","±641","(X)","(X)"
"    Housing units without a mortgage","3","±5","3","(X)"
"        Less than $100","0","±12","0.0%","±100.0"
"        $100 to $199","0","±12","0.0%","±100.0"
"        $200 to $299","0","±12","0.0%","±100.0"
"        $300 to $399","0","±12","0.0%","±100.0"
"        $400 or more","3","±5","100.0%","±100.0"
"        Median (dollars)","-","**","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","125","±60","125","(X)"
"        Less than 20.0 percent","12","±16","9.6%","±15.9"
"        20.0 to 24.9 percent","0","±12","0.0%","±24.1"
"        25.0 to 29.9 percent","18","±22","14.4%","±17.2"
"        30.0 to 34.9 percent","34","±29","27.2%","±21.7"
"        35.0 percent or more","61","±54","48.8%","±30.4"
"    Not computed","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","3","±5","3","(X)"
"        Less than 10.0 percent","0","±12","0.0%","±100.0"
"        10.0 to 14.9 percent","0","±12","0.0%","±100.0"
"        15.0 to 19.9 percent","0","±12","0.0%","±100.0"
"        20.0 to 24.9 percent","0","±12","0.0%","±100.0"
"        25.0 to 29.9 percent","0","±12","0.0%","±100.0"
"        30.0 to 34.9 percent","0","±12","0.0%","±100.0"
"        35.0 percent or more","3","±5","100.0%","±100.0"
"    Not computed","0","±12","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,117","±106","1,117","(X)"
"        Less than $200","44","±34","3.9%","±2.9"
"        $200 to $299","284","±99","25.4%","±8.8"
"        $300 to $499","189","±70","16.9%","±6.4"
"        $500 to $749","117","±71","10.5%","±5.9"
"        $750 to $999","208","±86","18.6%","±7.4"
"        $1,000 to $1,499","191","±89","17.1%","±7.7"
"        $1,500 or more","84","±55","7.5%","±4.9"
"        Median (dollars)","603","±272","(X)","(X)"
"    No rent paid","0","±12","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,073","±112","1,073","(X)"
"        Less than 15.0 percent","128","±69","11.9%","±5.8"
"        15.0 to 19.9 percent","95","±44","8.9%","±4.0"
"        20.0 to 24.9 percent","117","±57","10.9%","±5.5"
"        25.0 to 29.9 percent","167","±66","15.6%","±6.1"
"        30.0 to 34.9 percent","137","±59","12.8%","±5.6"
"        35.0 percent or more","429","±112","40.0%","±9.0"
"    Not computed","44","±62","(X)","(X)"
