"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,417","±38","1,417","(X)"
"        Occupied housing units","1,316","±63","92.9%","±3.5"
"        Vacant housing units","101","±50","7.1%","±3.5"
"        Homeowner vacancy rate","0.0","±16.8","(X)","(X)"
"        Rental vacancy rate","0.0","±2.9","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,417","±38","1,417","(X)"
"        1-unit, detached","46","±51","3.2%","±3.6"
"        1-unit, attached","348","±69","24.6%","±5.0"
"        2 units","37","±34","2.6%","±2.4"
"        3 or 4 units","108","±50","7.6%","±3.5"
"        5 to 9 units","20","±17","1.4%","±1.2"
"        10 to 19 units","51","±37","3.6%","±2.6"
"        20 or more units","807","±105","57.0%","±7.0"
"        Mobile home","0","±12","0.0%","±2.4"
"        Boat, RV, van, etc.","0","±12","0.0%","±2.4"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,417","±38","1,417","(X)"
"        Built 2014 or later","0","±12","0.0%","±2.4"
"        Built 2010 to 2013","24","±24","1.7%","±1.7"
"        Built 2000 to 2009","188","±76","13.3%","±5.3"
"        Built 1990 to 1999","225","±88","15.9%","±6.2"
"        Built 1980 to 1989","166","±67","11.7%","±4.8"
"        Built 1970 to 1979","168","±75","11.9%","±5.4"
"        Built 1960 to 1969","241","±86","17.0%","±6.0"
"        Built 1950 to 1959","27","±31","1.9%","±2.2"
"        Built 1940 to 1949","0","±12","0.0%","±2.4"
"        Built 1939 or earlier","378","±108","26.7%","±7.5"
"ROOMS","","","",""
"    Total housing units","1,417","±38","1,417","(X)"
"        1 room","155","±74","10.9%","±5.2"
"        2 rooms","145","±81","10.2%","±5.7"
"        3 rooms","301","±94","21.2%","±6.6"
"        4 rooms","325","±94","22.9%","±6.7"
"        5 rooms","240","±90","16.9%","±6.4"
"        6 rooms","174","±67","12.3%","±4.7"
"        7 rooms","40","±35","2.8%","±2.5"
"        8 rooms","37","±50","2.6%","±3.6"
"        9 rooms or more","0","±12","0.0%","±2.4"
"        Median rooms","3.8","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,417","±38","1,417","(X)"
"        No bedroom","155","±74","10.9%","±5.2"
"        1 bedroom","386","±114","27.2%","±8.0"
"        2 bedrooms","618","±109","43.6%","±7.7"
"        3 bedrooms","194","±69","13.7%","±4.9"
"        4 bedrooms","64","±65","4.5%","±4.6"
"        5 or more bedrooms","0","±12","0.0%","±2.4"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,316","±63","1,316","(X)"
"        Owner-occupied","138","±61","10.5%","±4.6"
"        Renter-occupied","1,178","±83","89.5%","±4.6"
"        Average household size of owner-occupied unit","3.12","±0.99","(X)","(X)"
"        Average household size of renter-occupied unit","2.22","±0.22","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,316","±63","1,316","(X)"
"        Moved in 2015 or later","88","±65","6.7%","±4.8"
"        Moved in 2010 to 2014","407","±104","30.9%","±7.8"
"        Moved in 2000 to 2009","690","±114","52.4%","±8.6"
"        Moved in 1990 to 1999","77","±47","5.9%","±3.6"
"        Moved in 1980 to 1989","18","±24","1.4%","±1.8"
"        Moved in 1979 and earlier","36","±35","2.7%","±2.6"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,316","±63","1,316","(X)"
"        No vehicles available","617","±106","46.9%","±7.5"
"        1 vehicle available","567","±113","43.1%","±8.5"
"        2 vehicles available","132","±71","10.0%","±5.4"
