"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,500","±51","1,500","(X)"
"        Occupied housing units","1,379","±94","91.9%","±5.4"
"        Vacant housing units","121","±80","8.1%","±5.4"
"        Homeowner vacancy rate","0.0","±15.6","(X)","(X)"
"        Rental vacancy rate","0.0","±2.7","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,500","±51","1,500","(X)"
"        1-unit, detached","59","±56","3.9%","±3.7"
"        1-unit, attached","430","±99","28.7%","±6.5"
"        2 units","37","±39","2.5%","±2.6"
"        3 or 4 units","88","±65","5.9%","±4.3"
"        5 to 9 units","43","±37","2.9%","±2.5"
"        10 to 19 units","71","±56","4.7%","±3.7"
"        20 or more units","772","±96","51.5%","±6.2"
"        Mobile home","0","±12","0.0%","±2.3"
"        Boat, RV, van, etc.","0","±12","0.0%","±2.3"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,500","±51","1,500","(X)"
"        Built 2014 or later","0","±12","0.0%","±2.3"
"        Built 2010 to 2013","24","±25","1.6%","±1.7"
"        Built 2000 to 2009","188","±91","12.5%","±6.0"
"        Built 1990 to 1999","171","±76","11.4%","±5.0"
"        Built 1980 to 1989","177","±76","11.8%","±5.1"
"        Built 1970 to 1979","206","±84","13.7%","±5.5"
"        Built 1960 to 1969","224","±96","14.9%","±6.4"
"        Built 1950 to 1959","42","±51","2.8%","±3.4"
"        Built 1940 to 1949","85","±76","5.7%","±5.0"
"        Built 1939 or earlier","383","±103","25.5%","±7.0"
"ROOMS","","","",""
"    Total housing units","1,500","±51","1,500","(X)"
"        1 room","193","±76","12.9%","±5.1"
"        2 rooms","104","±66","6.9%","±4.4"
"        3 rooms","309","±105","20.6%","±7.0"
"        4 rooms","428","±106","28.5%","±7.1"
"        5 rooms","229","±92","15.3%","±6.0"
"        6 rooms","170","±76","11.3%","±5.0"
"        7 rooms","40","±44","2.7%","±2.9"
"        8 rooms","27","±39","1.8%","±2.6"
"        9 rooms or more","0","±12","0.0%","±2.3"
