"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,396","±37","1,396","(X)"
"        Occupied housing units","1,365","±54","97.8%","±2.5"
"        Vacant housing units","31","±35","2.2%","±2.5"
"    Homeowner vacancy rate","0.0","±16.2","(X)","(X)"
"    Rental vacancy rate","0.0","±2.7","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,396","±37","1,396","(X)"
"        1-unit, detached","10","±15","0.7%","±1.1"
"        1-unit, attached","357","±89","25.6%","±6.3"
"        2 units","39","±40","2.8%","±2.9"
"        3 or 4 units","109","±58","7.8%","±4.1"
"        5 to 9 units","71","±53","5.1%","±3.8"
"        10 to 19 units","67","±42","4.8%","±3.0"
"        20 or more units","743","±101","53.2%","±7.0"
"        Mobile home","0","±12","0.0%","±2.3"
"        Boat, RV, van, etc.","0","±12","0.0%","±2.3"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,396","±37","1,396","(X)"
"        Built 2014 or later","0","±12","0.0%","±2.3"
"        Built 2010 to 2013","13","±16","0.9%","±1.1"
"        Built 2000 to 2009","211","±72","15.1%","±5.1"
"        Built 1990 to 1999","208","±83","14.9%","±5.9"
"        Built 1980 to 1989","151","±75","10.8%","±5.4"
"        Built 1970 to 1979","221","±95","15.8%","±6.9"
"        Built 1960 to 1969","161","±60","11.5%","±4.3"
"        Built 1950 to 1959","58","±46","4.2%","±3.3"
"        Built 1940 to 1949","0","±12","0.0%","±2.3"
"        Built 1939 or earlier","373","±91","26.7%","±6.5"
"ROOMS","","","",""
"    Total housing units","1,396","±37","1,396","(X)"
"        1 room","150","±71","10.7%","±5.0"
"        2 rooms","162","±72","11.6%","±5.2"
"        3 rooms","269","±76","19.3%","±5.5"
"        4 rooms","291","±71","20.8%","±5.1"
"        5 rooms","320","±89","22.9%","±6.4"
"        6 rooms","167","±72","12.0%","±5.1"
"        7 rooms","37","±38","2.7%","±2.7"
"        8 rooms","0","±12","0.0%","±2.3"
"        9 rooms or more","0","±12","0.0%","±2.3"
"        Median rooms","3.9","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,396","±37","1,396","(X)"
"        No bedroom","160","±70","11.5%","±5.0"
"        1 bedroom","341","±92","24.4%","±6.7"
"        2 bedrooms","610","±101","43.7%","±7.1"
"        3 bedrooms","254","±74","18.2%","±5.3"
"        4 bedrooms","31","±26","2.2%","±1.9"
"        5 or more bedrooms","0","±12","0.0%","±2.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,365","±54","1,365","(X)"
"        Owner-occupied","183","±79","13.4%","±5.7"
"        Renter-occupied","1,182","±81","86.6%","±5.7"
"    Average household size of owner-occupied unit","2.55","±0.72","(X)","(X)"
"    Average household size of renter-occupied unit","2.22","±0.18","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,365","±54","1,365","(X)"
"        Moved in 2015 or later","37","±40","2.7%","±2.9"
"        Moved in 2010 to 2014","407","±98","29.8%","±6.9"
"        Moved in 2000 to 2009","769","±113","56.3%","±8.4"
"        Moved in 1990 to 1999","89","±54","6.5%","±4.0"
"        Moved in 1980 to 1989","19","±20","1.4%","±1.5"
"        Moved in 1979 and earlier","44","±37","3.2%","±2.7"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,365","±54","1,365","(X)"
"        No vehicles available","664","±109","48.6%","±7.5"
"        1 vehicle available","577","±111","42.3%","±8.1"
"        2 vehicles available","124","±63","9.1%","±4.7"
"        3 or more vehicles available","0","±12","0.0%","±2.3"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,365","±54","1,365","(X)"
"        Utility gas","581","±108","42.6%","±7.5"
"        Bottled, tank, or LP gas","36","±39","2.6%","±2.8"
"        Electricity","671","±117","49.2%","±8.6"
"        Fuel oil, kerosene, etc.","28","±32","2.1%","±2.4"
"        Coal or coke","0","±12","0.0%","±2.3"
"        Wood","0","±12","0.0%","±2.3"
"        Solar energy","0","±12","0.0%","±2.3"
"        Other fuel","40","±36","2.9%","±2.7"
"        No fuel used","9","±15","0.7%","±1.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,365","±54","1,365","(X)"
"        Lacking complete plumbing facilities","0","±12","0.0%","±2.3"
"        Lacking complete kitchen facilities","27","±22","2.0%","±1.6"
"        No telephone service available","14","±22","1.0%","±1.6"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,365","±54","1,365","(X)"
"        1.00 or less","1,313","±70","96.2%","±3.4"
"        1.01 to 1.50","26","±30","1.9%","±2.2"
"        1.51 or more","26","±34","1.9%","±2.5"
"VALUE","","","",""
"    Owner-occupied units","183","±79","183","(X)"
"        Less than $50,000","0","±12","0.0%","±16.2"
"        $50,000 to $99,999","0","±12","0.0%","±16.2"
"        $100,000 to $149,999","4","±8","2.2%","±4.6"
"        $150,000 to $199,999","46","±52","25.1%","±23.8"
"        $200,000 to $299,999","21","±30","11.5%","±16.1"
"        $300,000 to $499,999","53","±34","29.0%","±19.3"
"        $500,000 to $999,999","59","±44","32.2%","±23.2"
"        $1,000,000 or more","0","±12","0.0%","±16.2"
"        Median (dollars)","368,300","±175,151","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","183","±79","183","(X)"
"        Housing units with a mortgage","174","±79","95.1%","±7.9"
"        Housing units without a mortgage","9","±14","4.9%","±7.9"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","174","±79","174","(X)"
"        Less than $500","0","±12","0.0%","±17.0"
"        $500 to $999","10","±16","5.7%","±9.1"
"        $1,000 to $1,499","61","±59","35.1%","±26.4"
"        $1,500 to $1,999","11","±17","6.3%","±8.9"
"        $2,000 to $2,499","31","±30","17.8%","±18.1"
"        $2,500 to $2,999","61","±40","35.1%","±22.8"
"        $3,000 or more","0","±12","0.0%","±17.0"
"        Median (dollars)","2,081","±829","(X)","(X)"
"    Housing units without a mortgage","9","±14","9","(X)"
"        Less than $250","0","±12","0.0%","±98.9"
"        $250 to $399","0","±12","0.0%","±98.9"
"        $400 to $599","9","±14","100.0%","±98.9"
"        $600 to $799","0","±12","0.0%","±98.9"
"        $800 to $999","0","±12","0.0%","±98.9"
"        $1,000 or more","0","±12","0.0%","±98.9"
"        Median (dollars)","-","**","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","157","±75","157","(X)"
"        Less than 20.0 percent","39","±39","24.8%","±23.5"
"        20.0 to 24.9 percent","36","±32","22.9%","±20.9"
"        25.0 to 29.9 percent","4","±8","2.5%","±5.4"
"        30.0 to 34.9 percent","44","±51","28.0%","±26.6"
"        35.0 percent or more","34","±30","21.7%","±18.9"
"    Not computed","17","±27","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","9","±14","9","(X)"
"        Less than 10.0 percent","9","±14","100.0%","±98.9"
"        10.0 to 14.9 percent","0","±12","0.0%","±98.9"
"        15.0 to 19.9 percent","0","±12","0.0%","±98.9"
"        20.0 to 24.9 percent","0","±12","0.0%","±98.9"
"        25.0 to 29.9 percent","0","±12","0.0%","±98.9"
"        30.0 to 34.9 percent","0","±12","0.0%","±98.9"
"        35.0 percent or more","0","±12","0.0%","±98.9"
"    Not computed","0","±12","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,163","±81","1,163","(X)"
"        Less than $500","431","±95","37.1%","±7.6"
"        $500 to $999","344","±96","29.6%","±7.6"
"        $1,000 to $1,499","268","±80","23.0%","±6.9"
"        $1,500 to $1,999","56","±46","4.8%","±4.0"
"        $2,000 to $2,499","53","±43","4.6%","±3.7"
"        $2,500 to $2,999","11","±17","0.9%","±1.5"
"        $3,000 or more","0","±12","0.0%","±2.8"
"        Median (dollars)","673","±41","(X)","(X)"
"    No rent paid","19","±29","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,128","±94","1,128","(X)"
"        Less than 15.0 percent","199","±84","17.6%","±7.0"
"        15.0 to 19.9 percent","82","±42","7.3%","±3.7"
"        20.0 to 24.9 percent","98","±60","8.7%","±5.3"
"        25.0 to 29.9 percent","171","±65","15.2%","±5.5"
"        30.0 to 34.9 percent","161","±68","14.3%","±6.1"
"        35.0 percent or more","417","±92","37.0%","±7.9"
"    Not computed","54","±49","(X)","(X)"
