"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,522","±213","1,522","(X)"
"        Occupied housing units","1,344","±211","88.3%","±7.2"
"        Vacant housing units","178","±114","11.7%","±7.2"
"        Homeowner vacancy rate","0.0","±16.0","(X)","(X)"
"        Rental vacancy rate","0.0","±3.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,522","±213","1,522","(X)"
"        1-unit, detached","39","±42","2.6%","±2.9"
"        1-unit, attached","431","±139","28.3%","±8.1"
"        2 units","23","±35","1.5%","±2.3"
"        3 or 4 units","103","±73","6.8%","±4.7"
"        5 to 9 units","52","±40","3.4%","±2.6"
"        10 to 19 units","145","±123","9.5%","±7.5"
"        20 or more units","729","±174","47.9%","±9.9"
"        Mobile home","0","±13","0.0%","±2.6"
"        Boat, RV, van, etc.","0","±13","0.0%","±2.6"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,522","±213","1,522","(X)"
"        Built 2014 or later","0","±13","0.0%","±2.6"
"        Built 2010 to 2013","106","±93","7.0%","±5.8"
"        Built 2000 to 2009","149","±76","9.8%","±5.2"
"        Built 1990 to 1999","140","±56","9.2%","±3.9"
"        Built 1980 to 1989","234","±134","15.4%","±8.0"
"        Built 1970 to 1979","365","±170","24.0%","±9.6"
"        Built 1960 to 1969","181","±66","11.9%","±4.5"
"        Built 1950 to 1959","29","±44","1.9%","±2.9"
"        Built 1940 to 1949","84","±69","5.5%","±4.5"
"        Built 1939 or earlier","234","±92","15.4%","±6.4"
"ROOMS","","","",""
"    Total housing units","1,522","±213","1,522","(X)"
"        1 room","166","±71","10.9%","±4.9"
"        2 rooms","150","±126","9.9%","±7.9"
"        3 rooms","379","±163","24.9%","±9.1"
"        4 rooms","470","±108","30.9%","±7.5"
"        5 rooms","228","±130","15.0%","±7.8"
"        6 rooms","111","±54","7.3%","±3.8"
"        7 rooms","0","±13","0.0%","±2.6"
"        8 rooms","18","±28","1.2%","±1.9"
"        9 rooms or more","0","±13","0.0%","±2.6"
"        Median rooms","3.6","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,522","±213","1,522","(X)"
"        No bedroom","179","±72","11.8%","±5.0"
"        1 bedroom","487","±195","32.0%","±10.7"
"        2 bedrooms","602","±142","39.6%","±9.1"
"        3 bedrooms","164","±117","10.8%","±7.1"
"        4 bedrooms","90","±56","5.9%","±3.9"
"        5 or more bedrooms","0","±13","0.0%","±2.6"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,344","±211","1,344","(X)"
"        Owner-occupied","113","±55","8.4%","±4.1"
"        Renter-occupied","1,231","±212","91.6%","±4.1"
"        Average household size of owner-occupied unit","1.42","±0.46","(X)","(X)"
"        Average household size of renter-occupied unit","2.20","±0.28","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,344","±211","1,344","(X)"
"        Moved in 2019 or later","130","±118","9.7%","±8.1"
"        Moved in 2015 to 2018","244","±93","18.2%","±6.9"
"        Moved in 2010 to 2014","370","±174","27.5%","±10.9"
"        Moved in 2000 to 2009","428","±118","31.8%","±9.8"
"        Moved in 1990 to 1999","72","±48","5.4%","±3.6"
"        Moved in 1989 and earlier","100","±59","7.4%","±4.3"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,344","±211","1,344","(X)"
"        No vehicles available","569","±140","42.3%","±9.0"
"        1 vehicle available","655","±150","48.7%","±9.9"
"        2 vehicles available","120","±113","8.9%","±7.8"
"        3 or more vehicles available","0","±13","0.0%","±2.9"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,344","±211","1,344","(X)"
"        Utility gas","676","±159","50.3%","±10.7"
"        Bottled, tank, or LP gas","20","±30","1.5%","±2.2"
"        Electricity","600","±192","44.6%","±10.4"
"        Fuel oil, kerosene, etc.","31","±37","2.3%","±2.8"
"        Coal or coke","0","±13","0.0%","±2.9"
"        Wood","0","±13","0.0%","±2.9"
"        Solar energy","0","±13","0.0%","±2.9"
"        Other fuel","17","±20","1.3%","±1.5"
"        No fuel used","0","±13","0.0%","±2.9"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,344","±211","1,344","(X)"
"        Lacking complete plumbing facilities","0","±13","0.0%","±2.9"
"        Lacking complete kitchen facilities","23","±26","1.7%","±2.0"
"        No telephone service available","16","±24","1.2%","±1.7"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,344","±211","1,344","(X)"
"        1.00 or less","1,321","±219","98.3%","±1.9"
"        1.01 to 1.50","5","±12","0.4%","±0.9"
"        1.51 or more","18","±21","1.3%","±1.7"
"VALUE","","","",""
"    Owner-occupied units","113","±55","113","(X)"
"        Less than $50,000","0","±13","0.0%","±29.0"
"        $50,000 to $99,999","0","±13","0.0%","±29.0"
"        $100,000 to $149,999","0","±13","0.0%","±29.0"
"        $150,000 to $199,999","0","±13","0.0%","±29.0"
"        $200,000 to $299,999","26","±29","23.0%","±27.0"
"        $300,000 to $499,999","21","±32","18.6%","±26.9"
"        $500,000 to $999,999","66","±56","58.4%","±37.4"
"        $1,000,000 or more","0","±13","0.0%","±29.0"
"        Median (dollars)","536,000","±129,258","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","113","±55","113","(X)"
"        Housing units with a mortgage","113","±55","100.0%","±29.0"
"        Housing units without a mortgage","0","±13","0.0%","±29.0"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","113","±55","113","(X)"
"        Less than $500","0","±13","0.0%","±29.0"
"        $500 to $999","14","±23","12.4%","±20.9"
"        $1,000 to $1,499","12","±18","10.6%","±16.2"
"        $1,500 to $1,999","0","±13","0.0%","±29.0"
"        $2,000 to $2,499","21","±32","18.6%","±26.9"
"        $2,500 to $2,999","52","±51","46.0%","±32.9"
"        $3,000 or more","14","±23","12.4%","±21.6"
"        Median (dollars)","2,591","±450","(X)","(X)"
"    Housing units without a mortgage","0","±13","0","(X)"
"        Less than $250","0","±13","-","**"
"        $250 to $399","0","±13","-","**"
"        $400 to $599","0","±13","-","**"
"        $600 to $799","0","±13","-","**"
"        $800 to $999","0","±13","-","**"
"        $1,000 or more","0","±13","-","**"
"        Median (dollars)","-","**","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","85","±47","85","(X)"
"        Less than 20.0 percent","14","±23","16.5%","±23.9"
"        20.0 to 24.9 percent","37","±30","43.5%","±34.0"
"        25.0 to 29.9 percent","0","±13","0.0%","±35.4"
"        30.0 to 34.9 percent","0","±13","0.0%","±35.4"
"        35.0 percent or more","34","±37","40.0%","±36.3"
"        Not computed","28","±44","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","0","±13","0","(X)"
"        Less than 10.0 percent","0","±13","-","**"
"        10.0 to 14.9 percent","0","±13","-","**"
"        15.0 to 19.9 percent","0","±13","-","**"
"        20.0 to 24.9 percent","0","±13","-","**"
"        25.0 to 29.9 percent","0","±13","-","**"
"        30.0 to 34.9 percent","0","±13","-","**"
"        35.0 percent or more","0","±13","-","**"
"        Not computed","0","±13","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,203","±208","1,203","(X)"
"        Less than $500","478","±163","39.7%","±11.3"
"        $500 to $999","239","±96","19.9%","±7.9"
"        $1,000 to $1,499","263","±121","21.9%","±9.3"
"        $1,500 to $1,999","185","±123","15.4%","±9.2"
"        $2,000 to $2,499","32","±25","2.7%","±2.3"
"        $2,500 to $2,999","6","±10","0.5%","±0.8"
"        $3,000 or more","0","±13","0.0%","±3.3"
"        Median (dollars)","760","±237","(X)","(X)"
"        No rent paid","28","±46","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,191","±211","1,191","(X)"
"        Less than 15.0 percent","77","±50","6.5%","±4.2"
"        15.0 to 19.9 percent","195","±132","16.4%","±10.0"
"        20.0 to 24.9 percent","46","±45","3.9%","±3.9"
"        25.0 to 29.9 percent","165","±99","13.9%","±8.2"
"        30.0 to 34.9 percent","171","±66","14.4%","±6.2"
"        35.0 percent or more","537","±179","45.1%","±11.0"
"        Not computed","40","±48","(X)","(X)"
