"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,351","±45","1,351","(X)"
"        Occupied housing units","1,312","±74","97.1%","±3.8"
"        Vacant housing units","39","±52","2.9%","±3.8"
"    Homeowner vacancy rate","0.0","±24.6","(X)","(X)"
"    Rental vacancy rate","3.2","±4.2","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,351","±45","1,351","(X)"
"        1-unit, detached","0","±12","0.0%","±2.6"
"        1-unit, attached","336","±83","24.9%","±6.0"
"        2 units","88","±63","6.5%","±4.6"
"        3 or 4 units","98","±49","7.3%","±3.6"
"        5 to 9 units","84","±51","6.2%","±3.8"
"        10 to 19 units","49","±34","3.6%","±2.5"
"        20 or more units","696","±76","51.5%","±5.3"
"        Mobile home","0","±12","0.0%","±2.6"
"        Boat, RV, van, etc.","0","±12","0.0%","±2.6"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,351","±45","1,351","(X)"
"        Built 2010 or later","30","±26","2.2%","±1.9"
"        Built 2000 to 2009","218","±81","16.1%","±5.9"
"        Built 1990 to 1999","249","±92","18.4%","±6.7"
"        Built 1980 to 1989","208","±78","15.4%","±5.8"
"        Built 1970 to 1979","230","±80","17.0%","±6.0"
"        Built 1960 to 1969","127","±56","9.4%","±4.2"
"        Built 1950 to 1959","63","±45","4.7%","±3.3"
"        Built 1940 to 1949","0","±12","0.0%","±2.6"
"        Built 1939 or earlier","226","±78","16.7%","±5.7"
"ROOMS","","","",""
"    Total housing units","1,351","±45","1,351","(X)"
"        1 room","147","±62","10.9%","±4.6"
"        2 rooms","116","±46","8.6%","±3.3"
"        3 rooms","379","±82","28.1%","±5.9"
"        4 rooms","329","±95","24.4%","±7.1"
"        5 rooms","253","±88","18.7%","±6.5"
"        6 rooms","120","±56","8.9%","±4.1"
"        7 rooms","7","±12","0.5%","±0.9"
"        8 rooms","0","±12","0.0%","±2.6"
"        9 rooms or more","0","±12","0.0%","±2.6"
"        Median rooms","3.6","±0.2","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,351","±45","1,351","(X)"
"        No bedroom","159","±64","11.8%","±4.7"
"        1 bedroom","396","±87","29.3%","±6.1"
"        2 bedrooms","540","±93","40.0%","±6.8"
"        3 bedrooms","197","±71","14.6%","±5.3"
"        4 bedrooms","52","±35","3.8%","±2.6"
"        5 or more bedrooms","7","±12","0.5%","±0.9"
