"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","2,415","±253","2,415","(X)"
"    Male","921","±187","38.1%","±6.0"
"    Female","1,494","±194","61.9%","±6.0"
"    Under 5 years","130","±79","5.4%","±3.4"
"    5 to 9 years","252","±90","10.4%","±3.3"
"    10 to 14 years","309","±125","12.8%","±4.7"
"    15 to 19 years","244","±101","10.1%","±3.9"
"    20 to 24 years","79","±67","3.3%","±2.8"
"    25 to 34 years","346","±145","14.3%","±6.0"
"    35 to 44 years","270","±86","11.2%","±3.1"
"    45 to 54 years","205","±85","8.5%","±3.7"
"    55 to 59 years","143","±98","5.9%","±4.0"
"    60 to 64 years","165","±79","6.8%","±3.3"
"    65 to 74 years","116","±59","4.8%","±2.5"
"    75 to 84 years","124","±79","5.1%","±3.2"
"    85 years and over","32","±32","1.3%","±1.3"
"    Median age (years)","29.7","±3.4","(X)","(X)"
"    18 years and over","1,595","±169","66.0%","±4.9"
"    21 years and over","1,437","±163","59.5%","±5.7"
"    62 years and over","376","±120","15.6%","±4.8"
"    65 years and over","272","±94","11.3%","±3.9"
"    18 years and over","1,595","±169","1,595","(X)"
"    Male","480","±109","30.1%","±5.8"
"    Female","1,115","±144","69.9%","±5.8"
"    65 years and over","272","±94","272","(X)"
"    Male","61","±47","22.4%","±15.3"
"    Female","211","±82","77.6%","±15.3"
"RACE","","","",""
"    Total population","2,415","±253","2,415","(X)"
"    One race","2,293","±277","94.9%","±4.1"
"    Two or more races","122","±98","5.1%","±4.1"
"    One race","2,293","±277","94.9%","±4.1"
"        White","290","±128","12.0%","±5.2"
"        Black or African American","1,443","±266","59.8%","±8.2"
"        American Indian and Alaska Native","33","±37","1.4%","±1.5"
"            Cherokee tribal grouping","7","±11","0.3%","±0.5"
"            Chippewa tribal grouping","0","±127","0.0%","±1.5"
"            Navajo tribal grouping","0","±127","0.0%","±1.5"
"            Sioux tribal grouping","0","±127","0.0%","±1.5"
"        Asian","131","±141","5.4%","±5.7"
"            Asian Indian","0","±127","0.0%","±1.5"
"            Chinese","67","±106","2.8%","±4.3"
"            Filipino","0","±127","0.0%","±1.5"
"            Japanese","29","±45","1.2%","±1.8"
"            Korean","35","±55","1.4%","±2.2"
"            Vietnamese","0","±127","0.0%","±1.5"
"            Other Asian","0","±127","0.0%","±1.5"
"        Native Hawaiian and Other Pacific Islander","0","±127","0.0%","±1.5"
"            Native Hawaiian","0","±127","0.0%","±1.5"
"            Guamanian or Chamorro","0","±127","0.0%","±1.5"
"            Samoan","0","±127","0.0%","±1.5"
"            Other Pacific Islander","0","±127","0.0%","±1.5"
"        Some other race","396","±130","16.4%","±5.6"
"    Two or more races","122","±98","5.1%","±4.1"
"        White and Black or African American","11","±20","0.5%","±0.8"
"        White and American Indian and Alaska Native","0","±127","0.0%","±1.5"
"        White and Asian","32","±47","1.3%","±2.0"
"        Black or African American and American Indian and Alaska Native","0","±127","0.0%","±1.5"
"    Race alone or in combination with one or more other races","","","",""
"        Total population","2,415","±253","2,415","(X)"
"    White","412","±160","17.1%","±6.6"
"    Black or African American","1,521","±272","63.0%","±8.7"
"    American Indian and Alaska Native","100","±112","4.1%","±4.7"
"    Asian","163","±148","6.7%","±5.9"
"    Native Hawaiian and Other Pacific Islander","0","±127","0.0%","±1.5"
"    Some other race","408","±128","16.9%","±5.5"
"HISPANIC OR LATINO AND RACE","","","",""
"    Total population","2,415","±253","2,415","(X)"
"    Hispanic or Latino (of any race)","749","±191","31.0%","±7.7"
"        Mexican","0","±127","0.0%","±1.5"
"        Puerto Rican","553","±165","22.9%","±6.5"
"        Cuban","12","±19","0.5%","±0.8"
"        Other Hispanic or Latino","184","±151","7.6%","±6.4"
"    Not Hispanic or Latino","1,666","±270","69.0%","±7.7"
"        White alone","70","±56","2.9%","±2.3"
"        Black or African American alone","1,344","±258","55.7%","±8.1"
"        American Indian and Alaska Native alone","33","±37","1.4%","±1.5"
"        Asian alone","131","±141","5.4%","±5.7"
"        Native Hawaiian and Other Pacific Islander alone","0","±127","0.0%","±1.5"
"        Some other race alone","10","±17","0.4%","±0.7"
"        Two or more races","78","±92","3.2%","±3.9"
"            Two races including Some other race","0","±127","0.0%","±1.5"
"            Two races excluding Some other race, and Three or more races","78","±92","3.2%","±3.9"
"    Total housing units","1,301","±39","(X)","(X)"
