"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","2,478","±60","2,478","(X)","1,123","±31","1,123","(X)","1,841","±32","1,841","(X)"
"        Occupied housing units","2,377","±125","95.9%","±4.3","1,060","±68","94.4%","±5.2","1,748","±82","94.9%","±4.3"
"        Vacant housing units","101","±106","4.1%","±4.3","63","±58","5.6%","±5.2","93","±80","5.1%","±4.3"
"    Homeowner vacancy rate","0.0","±3.5","(X)","(X)","0.0","±7.0","(X)","(X)","0.0","±5.5","(X)","(X)"
"    Rental vacancy rate","1.5","±2.6","(X)","(X)","1.4","±2.0","(X)","(X)","0.0","±2.7","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","2,478","±60","2,478","(X)","1,123","±31","1,123","(X)","1,841","±32","1,841","(X)"
"        1-unit, detached","387","±109","15.6%","±4.4","81","±44","7.2%","±3.9","128","±57","7.0%","±3.1"
"        1-unit, attached","94","±73","3.8%","±3.0","0","±12","0.0%","±2.8","64","±42","3.5%","±2.3"
"        2 units","293","±127","11.8%","±5.1","235","±72","20.9%","±6.3","103","±56","5.6%","±3.0"
"        3 or 4 units","871","±175","35.1%","±6.9","403","±86","35.9%","±7.7","803","±130","43.6%","±7.2"
"        5 to 9 units","375","±146","15.1%","±5.9","204","±63","18.2%","±5.6","412","±104","22.4%","±5.6"
"        10 to 19 units","165","±102","6.7%","±4.1","52","±43","4.6%","±3.8","45","±44","2.4%","±2.4"
"        20 or more units","293","±145","11.8%","±5.8","148","±53","13.2%","±4.7","286","±99","15.5%","±5.4"
"        Mobile home","0","±17","0.0%","±1.3","0","±12","0.0%","±2.8","0","±12","0.0%","±1.7"
"        Boat, RV, van, etc.","0","±17","0.0%","±1.3","0","±12","0.0%","±2.8","0","±12","0.0%","±1.7"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","2,478","±60","2,478","(X)","1,123","±31","1,123","(X)","1,841","±32","1,841","(X)"
"        Built 2014 or later","0","±17","0.0%","±1.3","0","±12","0.0%","±2.8","0","±12","0.0%","±1.7"
"        Built 2010 to 2013","0","±17","0.0%","±1.3","0","±12","0.0%","±2.8","39","±31","2.1%","±1.7"
"        Built 2000 to 2009","188","±127","7.6%","±5.1","0","±12","0.0%","±2.8","32","±30","1.7%","±1.6"
"        Built 1990 to 1999","71","±54","2.9%","±2.2","0","±12","0.0%","±2.8","36","±37","2.0%","±2.0"
"        Built 1980 to 1989","53","±56","2.1%","±2.3","21","±25","1.9%","±2.2","153","±64","8.3%","±3.5"
"        Built 1970 to 1979","145","±103","5.9%","±4.2","94","±60","8.4%","±5.3","83","±54","4.5%","±3.0"
"        Built 1960 to 1969","112","±81","4.5%","±3.3","147","±74","13.1%","±6.7","139","±66","7.6%","±3.5"
"        Built 1950 to 1959","218","±96","8.8%","±3.9","131","±55","11.7%","±4.9","202","±88","11.0%","±4.8"
"        Built 1940 to 1949","305","±105","12.3%","±4.2","62","±46","5.5%","±4.1","50","±36","2.7%","±1.9"
"        Built 1939 or earlier","1,386","±185","55.9%","±7.4","668","±102","59.5%","±8.6","1,107","±121","60.1%","±6.5"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","2,478","±60","2,478","(X)","1,123","±31","1,123","(X)","1,841","±32","1,841","(X)"
"        1 room","92","±97","3.7%","±3.9","9","±14","0.8%","±1.3","128","±58","7.0%","±3.1"
"        2 rooms","16","±24","0.6%","±1.0","27","±31","2.4%","±2.8","9","±13","0.5%","±0.7"
"        3 rooms","264","±149","10.7%","±6.0","124","±46","11.0%","±4.1","236","±90","12.8%","±4.9"
"        4 rooms","490","±174","19.8%","±7.0","389","±97","34.6%","±8.4","511","±106","27.8%","±5.8"
"        5 rooms","751","±205","30.3%","±8.2","246","±72","21.9%","±6.3","673","±96","36.6%","±5.2"
"        6 rooms","377","±137","15.2%","±5.6","235","±70","20.9%","±6.3","224","±67","12.2%","±3.7"
