"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","2,446","±80","2,446","(X)","1,148","±21","1,148","(X)","1,952","±95","1,952","(X)"
"        Occupied housing units","2,277","±132","93.1%","±4.9","1,101","±58","95.9%","±4.8","1,829","±116","93.7%","±4.5"
"        Vacant housing units","169","±122","6.9%","±4.9","47","±55","4.1%","±4.8","123","±90","6.3%","±4.5"
"        Homeowner vacancy rate","6.4","±8.9","(X)","(X)","0.0","±6.8","(X)","(X)","4.4","±6.7","(X)","(X)"
"        Rental vacancy rate","5.0","±3.7","(X)","(X)","0.0","±5.2","(X)","(X)","0.7","±1.0","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","2,446","±80","2,446","(X)","1,148","±21","1,148","(X)","1,952","±95","1,952","(X)"
"        1-unit, detached","336","±125","13.7%","±5.2","124","±66","10.8%","±5.7","104","±45","5.3%","±2.2"
"        1-unit, attached","65","±52","2.7%","±2.1","0","±12","0.0%","±3.0","76","±46","3.9%","±2.4"
"        2 units","454","±177","18.6%","±7.1","188","±65","16.4%","±5.8","125","±73","6.4%","±3.7"
"        3 or 4 units","962","±202","39.3%","±7.8","495","±97","43.1%","±8.4","793","±126","40.6%","±6.1"
"        5 to 9 units","352","±159","14.4%","±6.6","209","±73","18.2%","±6.3","333","±106","17.1%","±5.3"
"        10 to 19 units","154","±103","6.3%","±4.2","44","±56","3.8%","±4.9","71","±45","3.6%","±2.3"
"        20 or more units","123","±93","5.0%","±3.8","88","±33","7.7%","±2.9","450","±94","23.1%","±4.7"
"        Mobile home","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","0","±12","0.0%","±1.8"
"        Boat, RV, van, etc.","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","0","±12","0.0%","±1.8"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","2,446","±80","2,446","(X)","1,148","±21","1,148","(X)","1,952","±95","1,952","(X)"
"        Built 2014 or later","32","±36","1.3%","±1.5","0","±12","0.0%","±3.0","194","±88","9.9%","±4.5"
"        Built 2010 to 2013","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","33","±27","1.7%","±1.4"
"        Built 2000 to 2009","87","±72","3.6%","±2.9","0","±12","0.0%","±3.0","34","±29","1.7%","±1.5"
"        Built 1990 to 1999","65","±61","2.7%","±2.5","10","±16","0.9%","±1.4","79","±58","4.0%","±2.9"
"        Built 1980 to 1989","61","±52","2.5%","±2.1","32","±24","2.8%","±2.1","119","±64","6.1%","±3.2"
"        Built 1970 to 1979","22","±25","0.9%","±1.0","66","±56","5.7%","±4.9","139","±60","7.1%","±3.2"
"        Built 1960 to 1969","183","±107","7.5%","±4.4","92","±64","8.0%","±5.6","80","±51","4.1%","±2.6"
"        Built 1950 to 1959","135","±89","5.5%","±3.7","166","±96","14.5%","±8.3","162","±75","8.3%","±3.8"
"        Built 1940 to 1949","469","±157","19.2%","±6.3","54","±40","4.7%","±3.5","10","±15","0.5%","±0.8"
"        Built 1939 or earlier","1,392","±220","56.9%","±8.6","728","±99","63.4%","±8.5","1,102","±147","56.5%","±6.7"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","2,446","±80","2,446","(X)","1,148","±21","1,148","(X)","1,952","±95","1,952","(X)"
"        1 room","12","±19","0.5%","±0.8","9","±15","0.8%","±1.3","134","±54","6.9%","±2.8"
"        2 rooms","12","±21","0.5%","±0.9","58","±60","5.1%","±5.2","78","±36","4.0%","±1.8"
"        3 rooms","131","±71","5.4%","±2.9","119","±54","10.4%","±4.7","189","±87","9.7%","±4.4"
"        4 rooms","634","±197","25.9%","±7.9","342","±98","29.8%","±8.5","530","±143","27.2%","±7.0"
"        5 rooms","857","±203","35.0%","±8.0","274","±93","23.9%","±8.1","686","±133","35.1%","±6.7"
"        6 rooms","347","±134","14.2%","±5.4","178","±65","15.5%","±5.7","160","±73","8.2%","±3.7"
"        7 rooms","41","±40","1.7%","±1.6","48","±39","4.2%","±3.4","98","±55","5.0%","±2.8"
"        8 rooms","266","±128","10.9%","±5.3","51","±34","4.4%","±3.0","35","±33","1.8%","±1.7"
"        9 rooms or more","146","±69","6.0%","±2.9","69","±50","6.0%","±4.4","42","±31","2.2%","±1.6"
"        Median rooms","5.0","±0.2","(X)","(X)","4.7","±0.4","(X)","(X)","4.6","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","2,446","±80","2,446","(X)","1,148","±21","1,148","(X)","1,952","±95","1,952","(X)"
"        No bedroom","12","±19","0.5%","±0.8","9","±15","0.8%","±1.3","158","±69","8.1%","±3.5"
"        1 bedroom","228","±109","9.3%","±4.5","218","±85","19.0%","±7.3","407","±109","20.9%","±5.6"
"        2 bedrooms","1,329","±206","54.3%","±7.9","555","±92","48.3%","±8.1","881","±151","45.1%","±7.0"
"        3 bedrooms","622","±230","25.4%","±9.4","257","±82","22.4%","±7.1","378","±110","19.4%","±5.7"
"        4 bedrooms","185","±77","7.6%","±3.1","86","±48","7.5%","±4.2","53","±36","2.7%","±1.8"
"        5 or more bedrooms","70","±53","2.9%","±2.2","23","±23","2.0%","±2.0","75","±45","3.8%","±2.3"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","2,277","±132","2,277","(X)","1,101","±58","1,101","(X)","1,829","±116","1,829","(X)"
"        Owner-occupied","1,097","±192","48.2%","±7.8","499","±85","45.3%","±7.9","607","±114","33.2%","±6.0"
"        Renter-occupied","1,180","±189","51.8%","±7.8","602","±97","54.7%","±7.9","1,222","±138","66.8%","±6.0"
"        Average household size of owner-occupied unit","3.01","±0.31","(X)","(X)","2.26","±0.26","(X)","(X)","2.37","±0.27","(X)","(X)"
"        Average household size of renter-occupied unit","2.97","±0.35","(X)","(X)","1.99","±0.30","(X)","(X)","2.08","±0.20","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","2,277","±132","2,277","(X)","1,101","±58","1,101","(X)","1,829","±116","1,829","(X)"
"        Moved in 2017 or later","344","±140","15.1%","±5.9","88","±46","8.0%","±4.2","259","±86","14.2%","±4.5"
"        Moved in 2015 to 2016","326","±145","14.3%","±6.4","240","±79","21.8%","±7.3","434","±103","23.7%","±5.4"
"        Moved in 2010 to 2014","345","±140","15.2%","±6.2","370","±106","33.6%","±9.1","506","±129","27.7%","±6.9"
"        Moved in 2000 to 2009","663","±227","29.1%","±9.7","229","±84","20.8%","±7.6","370","±120","20.2%","±6.5"
"        Moved in 1990 to 1999","286","±148","12.6%","±6.5","111","±46","10.1%","±4.1","194","±92","10.6%","±4.9"
"        Moved in 1989 and earlier","313","±119","13.7%","±5.1","63","±37","5.7%","±3.4","66","±39","3.6%","±2.2"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","2,277","±132","2,277","(X)","1,101","±58","1,101","(X)","1,829","±116","1,829","(X)"
"        No vehicles available","505","±197","22.2%","±8.4","242","±80","22.0%","±7.2","484","±128","26.5%","±6.6"
"        1 vehicle available","993","±224","43.6%","±9.1","601","±104","54.6%","±8.7","871","±150","47.6%","±7.6"
"        2 vehicles available","533","±144","23.4%","±6.2","226","±71","20.5%","±6.5","441","±121","24.1%","±6.6"
"        3 or more vehicles available","246","±153","10.8%","±6.8","32","±29","2.9%","±2.6","33","±28","1.8%","±1.5"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","2,277","±132","2,277","(X)","1,101","±58","1,101","(X)","1,829","±116","1,829","(X)"
"        Utility gas","1,619","±184","71.1%","±6.6","687","±103","62.4%","±8.9","1,144","±120","62.5%","±6.2"
"        Bottled, tank, or LP gas","36","±45","1.6%","±2.0","65","±53","5.9%","±4.9","39","±33","2.1%","±1.8"
"        Electricity","165","±98","7.2%","±4.3","148","±68","13.4%","±6.1","407","±130","22.3%","±6.6"
"        Fuel oil, kerosene, etc.","308","±112","13.5%","±4.9","190","±72","17.3%","±6.3","207","±69","11.3%","±3.7"
"        Coal or coke","0","±17","0.0%","±1.5","0","±12","0.0%","±3.1","0","±12","0.0%","±1.9"
"        Wood","15","±25","0.7%","±1.1","0","±12","0.0%","±3.1","0","±12","0.0%","±1.9"
"        Solar energy","0","±17","0.0%","±1.5","0","±12","0.0%","±3.1","0","±12","0.0%","±1.9"
"        Other fuel","14","±22","0.6%","±0.9","0","±12","0.0%","±3.1","23","±28","1.3%","±1.5"
"        No fuel used","120","±109","5.3%","±4.8","11","±18","1.0%","±1.6","9","±15","0.5%","±0.8"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","2,277","±132","2,277","(X)","1,101","±58","1,101","(X)","1,829","±116","1,829","(X)"
"        Lacking complete plumbing facilities","0","±17","0.0%","±1.5","0","±12","0.0%","±3.1","63","±61","3.4%","±3.3"
"        Lacking complete kitchen facilities","0","±17","0.0%","±1.5","11","±18","1.0%","±1.6","40","±59","2.2%","±3.2"
"        No telephone service available","75","±87","3.3%","±3.8","0","±12","0.0%","±3.1","39","±32","2.1%","±1.7"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","2,277","±132","2,277","(X)","1,101","±58","1,101","(X)","1,829","±116","1,829","(X)"
"        1.00 or less","2,243","±142","98.5%","±1.7","1,086","±64","98.6%","±2.2","1,787","±129","97.7%","±2.0"
