"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","2,400","±67","2,400","(X)","1,094","±22","1,094","(X)","1,747","±56","1,747","(X)"
"    Occupied housing units","2,300","±114","95.8%","±3.6","976","±85","89.2%","±7.3","1,688","±81","96.6%","±3.1"
"    Vacant housing units","100","±87","4.2%","±3.6","118","±80","10.8%","±7.3","59","±55","3.4%","±3.1"
"    Homeowner vacancy rate","0.0","±4.2","(X)","(X)","0.0","±7.9","(X)","(X)","0.0","±6.5","(X)","(X)"
"    Rental vacancy rate","6.5","±5.6","(X)","(X)","4.9","±7.6","(X)","(X)","0.0","±3.2","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","2,400","±67","2,400","(X)","1,094","±22","1,094","(X)","1,747","±56","1,747","(X)"
"    1-unit, detached","412","±131","17.2%","±5.4","84","±58","7.7%","±5.3","105","±56","6.0%","±3.2"
"    1-unit, attached","71","±67","3.0%","±2.7","10","±16","0.9%","±1.4","56","±52","3.2%","±3.0"
"    2 units","267","±106","11.1%","±4.4","261","±84","23.9%","±7.8","144","±73","8.2%","±4.3"
"    3 or 4 units","802","±159","33.4%","±6.5","372","±93","34.0%","±8.5","876","±142","50.1%","±7.8"
"    5 to 9 units","337","±112","14.0%","±4.7","200","±66","18.3%","±6.1","306","±105","17.5%","±6.0"
"    10 to 19 units","266","±128","11.1%","±5.4","63","±54","5.8%","±5.0","54","±73","3.1%","±4.2"
"    20 or more units","245","±97","10.2%","±4.0","104","±56","9.5%","±5.1","206","±92","11.8%","±5.3"
"    Mobile home","0","±95","0.0%","±1.5","0","±95","0.0%","±3.4","0","±95","0.0%","±2.1"
"    Boat, RV, van, etc.","0","±95","0.0%","±1.5","0","±95","0.0%","±3.4","0","±95","0.0%","±2.1"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","2,400","±67","2,400","(X)","1,094","±22","1,094","(X)","1,747","±56","1,747","(X)"
"    Built 2005 or later","24","±26","1.0%","±1.1","8","±14","0.7%","±1.3","74","±54","4.2%","±3.1"
"    Built 2000 to 2004","270","±120","11.3%","±4.9","0","±95","0.0%","±3.4","47","±34","2.7%","±2.0"
"    Built 1990 to 1999","76","±57","3.2%","±2.4","8","±14","0.7%","±1.3","7","±12","0.4%","±0.7"
"    Built 1980 to 1989","91","±62","3.8%","±2.6","0","±95","0.0%","±3.4","52","±63","3.0%","±3.6"
"    Built 1970 to 1979","15","±23","0.6%","±1.0","16","±19","1.5%","±1.8","67","±58","3.8%","±3.3"
"    Built 1960 to 1969","91","±60","3.8%","±2.5","149","±64","13.6%","±5.8","184","±78","10.5%","±4.4"
"    Built 1950 to 1959","210","±136","8.8%","±5.7","113","±61","10.3%","±5.6","202","±94","11.6%","±5.4"
"    Built 1940 to 1949","225","±89","9.4%","±3.8","98","±66","9.0%","±6.0","5","±9","0.3%","±0.5"
"    Built 1939 or earlier","1,398","±172","58.3%","±6.9","702","±86","64.2%","±8.1","1,109","±137","63.5%","±7.3"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","2,400","±67","2,400","(X)","1,094","±22","1,094","(X)","1,747","±56","1,747","(X)"
"    1 room","15","±26","0.6%","±1.1","12","±14","1.1%","±1.3","118","±87","6.8%","±4.9"
"    2 rooms","81","±57","3.4%","±2.4","0","±95","0.0%","±3.4","13","±21","0.7%","±1.2"
"    3 rooms","312","±112","13.0%","±4.7","185","±95","16.9%","±8.7","162","±81","9.3%","±4.7"
"    4 rooms","366","±102","15.3%","±4.2","289","±85","26.4%","±7.9","424","±139","24.3%","±8.0"
"    5 rooms","829","±217","34.5%","±8.9","318","±89","29.1%","±8.0","696","±138","39.8%","±7.7"
"    6 rooms","431","±154","18.0%","±6.4","121","±56","11.1%","±5.1","260","±92","14.9%","±5.2"
"    7 rooms","97","±72","4.0%","±3.0","78","±48","7.1%","±4.4","24","±19","1.4%","±1.1"
"    8 rooms","168","±106","7.0%","±4.4","13","±20","1.2%","±1.8","10","±16","0.6%","±0.9"
"    9 rooms or more","101","±67","4.2%","±2.8","78","±60","7.1%","±5.5","40","±33","2.3%","±1.9"
"    Median rooms","5.0","±0.2","(X)","(X)","4.7","±0.3","(X)","(X)","4.7","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","2,400","±67","2,400","(X)","1,094","±22","1,094","(X)","1,747","±56","1,747","(X)"
"    No bedroom","30","±34","1.3%","±1.4","12","±14","1.1%","±1.3","118","±87","6.8%","±4.9"
"    1 bedroom","419","±118","17.5%","±5.0","243","±95","22.2%","±8.8","192","±70","11.0%","±4.1"
