"Label (Grouping)","Census Tract 1101.05, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","1,172","±227","1,172","(X)","1,122","±107","1,122","(X)","2,109","±305","2,109","(X)"
"        Occupied housing units","1,172","±227","100.0%","±3.4","1,073","±117","95.6%","±5.1","2,010","±305","95.3%","±4.2"
"        Vacant housing units","0","±13","0.0%","±3.4","49","±57","4.4%","±5.1","99","±91","4.7%","±4.2"
"        Homeowner vacancy rate","0.0","±6.5","(X)","(X)","0.0","±6.8","(X)","(X)","4.3","±6.8","(X)","(X)"
"        Rental vacancy rate","0.0","±6.7","(X)","(X)","0.0","±6.9","(X)","(X)","1.7","±2.9","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","1,172","±227","1,172","(X)","1,122","±107","1,122","(X)","2,109","±305","2,109","(X)"
"        1-unit, detached","28","±32","2.4%","±2.8","158","±75","14.1%","±6.6","95","±49","4.5%","±2.3"
"        1-unit, attached","32","±42","2.7%","±3.7","7","±13","0.6%","±1.1","105","±75","5.0%","±3.5"
"        2 units","265","±161","22.6%","±11.8","229","±108","20.4%","±8.4","116","±70","5.5%","±3.3"
"        3 or 4 units","505","±149","43.1%","±12.8","419","±105","37.3%","±9.3","794","±160","37.6%","±8.8"
