"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","2,421","±84","2,421","(X)","1,138","±26","1,138","(X)","1,920","±54","1,920","(X)"
"        Occupied housing units","2,257","±160","93.2%","±5.6","1,096","±60","96.3%","±4.4","1,813","±87","94.4%","±4.2"
"        Vacant housing units","164","±134","6.8%","±5.6","42","±49","3.7%","±4.4","107","±80","5.6%","±4.2"
"        Homeowner vacancy rate","4.6","±6.8","(X)","(X)","0.0","±7.4","(X)","(X)","0.0","±6.1","(X)","(X)"
"        Rental vacancy rate","2.0","±3.8","(X)","(X)","0.0","±5.0","(X)","(X)","0.0","±2.7","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","2,421","±84","2,421","(X)","1,138","±26","1,138","(X)","1,920","±54","1,920","(X)"
"        1-unit, detached","429","±140","17.7%","±5.8","108","±49","9.5%","±4.4","118","±58","6.1%","±3.1"
"        1-unit, attached","22","±25","0.9%","±1.0","0","±12","0.0%","±3.0","50","±39","2.6%","±2.0"
"        2 units","410","±177","16.9%","±7.2","166","±62","14.6%","±5.4","101","±54","5.3%","±2.9"
"        3 or 4 units","870","±180","35.9%","±7.1","501","±71","44.0%","±6.5","850","±120","44.3%","±5.9"
"        5 to 9 units","318","±167","13.1%","±7.0","188","±55","16.5%","±4.8","382","±106","19.9%","±5.4"
"        10 to 19 units","146","±78","6.0%","±3.2","77","±73","6.8%","±6.4","53","±34","2.8%","±1.8"
"        20 or more units","226","±128","9.3%","±5.3","98","±50","8.6%","±4.4","366","±100","19.1%","±5.2"
