"Label (Grouping)","Census Tract 1101.05, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","1,163","±208","1,163","(X)","1,131","±96","1,131","(X)","2,196","±301","2,196","(X)"
"        Occupied housing units","1,126","±222","96.8%","±4.8","1,102","±97","97.4%","±4.0","2,060","±306","93.8%","±5.0"
"        Vacant housing units","37","±56","3.2%","±4.8","29","±45","2.6%","±4.0","136","±111","6.2%","±5.0"
"        Homeowner vacancy rate","0.0","±8.0","(X)","(X)","0.0","±7.0","(X)","(X)","3.5","±5.3","(X)","(X)"
"        Rental vacancy rate","5.4","±8.1","(X)","(X)","0.0","±6.6","(X)","(X)","4.4","±5.0","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","1,163","±208","1,163","(X)","1,131","±96","1,131","(X)","2,196","±301","2,196","(X)"
"        1-unit, detached","19","±30","1.6%","±2.6","139","±58","12.3%","±4.8","46","±35","2.1%","±1.6"
"        1-unit, attached","32","±37","2.8%","±3.2","0","±13","0.0%","±3.5","73","±62","3.3%","±2.8"
"        2 units","230","±158","19.8%","±11.9","249","±96","22.0%","±7.8","150","±72","6.8%","±3.3"
"        3 or 4 units","466","±134","40.1%","±12.5","418","±89","37.0%","±7.9","800","±146","36.4%","±8.1"
"        5 to 9 units","145","±80","12.5%","±7.0","192","±57","17.0%","±5.4","506","±292","23.0%","±10.7"
"        10 to 19 units","84","±54","7.2%","±4.8","21","±25","1.9%","±2.2","52","±40","2.4%","±1.8"
"        20 or more units","141","±118","12.1%","±9.0","112","±43","9.9%","±3.8","569","±120","25.9%","±6.0"
"        Mobile home","46","±76","4.0%","±6.4","0","±13","0.0%","±3.5","0","±13","0.0%","±1.8"
"        Boat, RV, van, etc.","0","±13","0.0%","±3.4","0","±13","0.0%","±3.5","0","±13","0.0%","±1.8"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","1,163","±208","1,163","(X)","1,131","±96","1,131","(X)","2,196","±301","2,196","(X)"
"        Built 2020 or later","116","±109","10.0%","±8.6","0","±13","0.0%","±3.5","30","±47","1.4%","±2.2"
"        Built 2010 to 2019","19","±29","1.6%","±2.5","14","±21","1.2%","±1.8","365","±107","16.6%","±5.2"
"        Built 2000 to 2009","46","±76","4.0%","±6.4","0","±13","0.0%","±3.5","47","±36","2.1%","±1.7"
"        Built 1990 to 1999","0","±13","0.0%","±3.4","35","±34","3.1%","±3.0","63","±55","2.9%","±2.6"
"        Built 1980 to 1989","51","±51","4.4%","±4.4","35","±30","3.1%","±2.6","119","±71","5.4%","±3.2"
"        Built 1970 to 1979","0","±13","0.0%","±3.4","86","±44","7.6%","±3.8","85","±52","3.9%","±2.4"
"        Built 1960 to 1969","61","±56","5.2%","±4.8","120","±54","10.6%","±4.7","203","±120","9.2%","±5.2"
"        Built 1950 to 1959","40","±48","3.4%","±4.2","94","±53","8.3%","±4.6","94","±88","4.3%","±4.1"
"        Built 1940 to 1949","237","±109","20.4%","±10.1","21","±23","1.9%","±2.0","8","±13","0.4%","±0.6"
