"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","2,395","±67","2,395","(X)","1,083","±21","1,083","(X)","1,742","±63","1,742","(X)"
"    Occupied housing units","2,298","±116","95.9%","±3.8","1,008","±65","93.1%","±5.6","1,714","±76","98.4%","±2.4"
"    Vacant housing units","97","±90","4.1%","±3.8","75","±61","6.9%","±5.6","28","±41","1.6%","±2.4"
"    Homeowner vacancy rate","0.0","±3.7","(X)","(X)","0.0","±6.7","(X)","(X)","0.0","±6.1","(X)","(X)"
"    Rental vacancy rate","4.2","±4.7","(X)","(X)","1.3","±2.1","(X)","(X)","0.0","±2.9","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","2,395","±67","2,395","(X)","1,083","±21","1,083","(X)","1,742","±63","1,742","(X)"
"    1-unit, detached","471","±135","19.7%","±5.7","92","±60","8.5%","±5.6","140","±67","8.0%","±3.8"
"    1-unit, attached","132","±89","5.5%","±3.7","11","±18","1.0%","±1.6","85","±61","4.9%","±3.5"
"    2 units","214","±92","8.9%","±3.9","243","±77","22.4%","±7.0","133","±67","7.6%","±3.8"
"    3 or 4 units","778","±145","32.5%","±6.0","372","±86","34.3%","±8.0","838","±129","48.1%","±7.6"
"    5 to 9 units","328","±128","13.7%","±5.3","213","±68","19.7%","±6.3","318","±110","18.3%","±6.2"
"    10 to 19 units","237","±129","9.9%","±5.4","69","±52","6.4%","±4.8","26","±41","1.5%","±2.4"
"    20 or more units","235","±93","9.8%","±3.9","83","±43","7.7%","±4.0","202","±77","11.6%","±4.3"
"    Mobile home","0","±17","0.0%","±1.4","0","±12","0.0%","±3.2","0","±12","0.0%","±2.0"
"    Boat, RV, van, etc.","0","±17","0.0%","±1.4","0","±12","0.0%","±3.2","0","±12","0.0%","±2.0"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","2,395","±67","2,395","(X)","1,083","±21","1,083","(X)","1,742","±63","1,742","(X)"
"    Built 2010 or later","0","±17","0.0%","±1.4","0","±12","0.0%","±3.2","23","±28","1.3%","±1.6"
"    Built 2000 to 2009","336","±141","14.0%","±5.8","7","±11","0.6%","±1.0","69","±41","4.0%","±2.3"
"    Built 1990 to 1999","88","±64","3.7%","±2.7","8","±14","0.7%","±1.3","0","±12","0.0%","±2.0"
"    Built 1980 to 1989","137","±70","5.7%","±2.9","0","±12","0.0%","±3.2","118","±70","6.8%","±4.0"
"    Built 1970 to 1979","31","±38","1.3%","±1.6","20","±24","1.8%","±2.2","76","±60","4.4%","±3.4"
"    Built 1960 to 1969","90","±81","3.8%","±3.4","116","±67","10.7%","±6.2","129","±68","7.4%","±4.0"
"    Built 1950 to 1959","169","±96","7.1%","±4.0","104","±63","9.6%","±5.8","220","±95","12.6%","±5.5"
"    Built 1940 to 1949","179","±74","7.5%","±3.1","105","±69","9.7%","±6.4","30","±30","1.7%","±1.7"
"    Built 1939 or earlier","1,365","±178","57.0%","±7.0","723","±95","66.8%","±8.6","1,077","±111","61.8%","±6.1"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","2,395","±67","2,395","(X)","1,083","±21","1,083","(X)","1,742","±63","1,742","(X)"
"    1 room","31","±40","1.3%","±1.7","15","±17","1.4%","±1.6","67","±57","3.8%","±3.2"
"    2 rooms","71","±57","3.0%","±2.4","6","±10","0.6%","±0.9","20","±21","1.1%","±1.2"
"    3 rooms","244","±88","10.2%","±3.7","116","±61","10.7%","±5.7","198","±90","11.4%","±5.0"
"    4 rooms","446","±131","18.6%","±5.4","285","±88","26.3%","±8.0","377","±138","21.6%","±8.0"
"    5 rooms","783","±203","32.7%","±8.3","322","±95","29.7%","±8.7","690","±132","39.6%","±7.6"
"    6 rooms","355","±124","14.8%","±5.2","150","±62","13.9%","±5.8","285","±107","16.4%","±6.2"
"    7 rooms","108","±66","4.5%","±2.8","86","±50","7.9%","±4.6","9","±14","0.5%","±0.8"
"    8 rooms","203","±110","8.5%","±4.6","23","±27","2.1%","±2.5","10","±17","0.6%","±1.0"
"    9 rooms or more","154","±99","6.4%","±4.1","80","±60","7.4%","±5.5","86","±64","4.9%","±3.7"
"    Median rooms","5.0","±0.2","(X)","(X)","4.9","±0.3","(X)","(X)","4.8","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","2,395","±67","2,395","(X)","1,083","±21","1,083","(X)","1,742","±63","1,742","(X)"
"    No bedroom","47","±50","2.0%","±2.1","15","±17","1.4%","±1.6","67","±57","3.8%","±3.2"
"    1 bedroom","385","±121","16.1%","±5.1","154","±68","14.2%","±6.3","263","±87","15.1%","±4.9"
"    2 bedrooms","1,007","±169","42.0%","±6.9","615","±81","56.8%","±7.1","949","±147","54.5%","±8.1"
"    3 bedrooms","704","±198","29.4%","±8.1","196","±74","18.1%","±6.9","398","±124","22.8%","±7.2"
"    4 bedrooms","187","±100","7.8%","±4.2","61","±52","5.6%","±4.8","30","±36","1.7%","±2.1"
"    5 or more bedrooms","65","±52","2.7%","±2.2","42","±42","3.9%","±3.9","35","±32","2.0%","±1.8"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","2,298","±116","2,298","(X)","1,008","±65","1,008","(X)","1,714","±76","1,714","(X)"
"    Owner-occupied","921","±173","40.1%","±7.6","508","±91","50.4%","±9.2","531","±102","31.0%","±6.0"
"    Renter-occupied","1,377","±198","59.9%","±7.6","500","±103","49.6%","±9.2","1,183","±122","69.0%","±6.0"
"    Average household size of owner-occupied unit","2.79","±0.41","(X)","(X)","1.95","±0.19","(X)","(X)","2.11","±0.20","(X)","(X)"
"    Average household size of renter-occupied unit","2.41","±0.30","(X)","(X)","1.95","±0.29","(X)","(X)","2.29","±0.22","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","2,298","±116","2,298","(X)","1,008","±65","1,008","(X)","1,714","±76","1,714","(X)"
"    Moved in 2010 or later","306","±132","13.3%","±5.7","91","±56","9.0%","±5.5","315","±114","18.4%","±6.5"
"    Moved in 2000 to 2009","1,497","±207","65.1%","±8.0","669","±107","66.4%","±9.2","953","±163","55.6%","±9.3"
"    Moved in 1990 to 1999","253","±110","11.0%","±4.8","119","±49","11.8%","±4.9","247","±100","14.4%","±5.9"
"    Moved in 1980 to 1989","128","±75","5.6%","±3.3","110","±68","10.9%","±6.8","91","±56","5.3%","±3.3"
"    Moved in 1970 to 1979","66","±52","2.9%","±2.3","14","±16","1.4%","±1.6","92","±77","5.4%","±4.5"
"    Moved in 1969 or earlier","48","±45","2.1%","±1.9","5","±9","0.5%","±0.9","16","±19","0.9%","±1.1"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","2,298","±116","2,298","(X)","1,008","±65","1,008","(X)","1,714","±76","1,714","(X)"
"    No vehicles available","648","±192","28.2%","±7.8","276","±87","27.4%","±8.3","517","±127","30.2%","±7.2"
"    1 vehicle available","1,092","±193","47.5%","±8.7","558","±92","55.4%","±8.7","941","±150","54.9%","±8.4"
"    2 vehicles available","399","±130","17.4%","±5.6","150","±65","14.9%","±6.3","232","±77","13.5%","±4.4"
"    3 or more vehicles available","159","±107","6.9%","±4.6","24","±23","2.4%","±2.3","24","±26","1.4%","±1.5"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","2,298","±116","2,298","(X)","1,008","±65","1,008","(X)","1,714","±76","1,714","(X)"
"    Utility gas","1,453","±208","63.2%","±7.7","640","±105","63.5%","±9.3","1,065","±141","62.1%","±8.1"
"    Bottled, tank, or LP gas","49","±50","2.1%","±2.2","45","±35","4.5%","±3.5","21","±25","1.2%","±1.5"
"    Electricity","159","±96","6.9%","±4.2","78","±46","7.7%","±4.5","387","±115","22.6%","±6.5"
"    Fuel oil, kerosene, etc.","622","±152","27.1%","±6.8","236","±81","23.4%","±8.1","241","±106","14.1%","±6.2"
"    Coal or coke","0","±17","0.0%","±1.5","0","±12","0.0%","±3.4","0","±12","0.0%","±2.0"
"    Wood","0","±17","0.0%","±1.5","0","±12","0.0%","±3.4","0","±12","0.0%","±2.0"
"    Solar energy","0","±17","0.0%","±1.5","0","±12","0.0%","±3.4","0","±12","0.0%","±2.0"
"    Other fuel","15","±25","0.7%","±1.1","0","±12","0.0%","±3.4","0","±12","0.0%","±2.0"
"    No fuel used","0","±17","0.0%","±1.5","9","±16","0.9%","±1.6","0","±12","0.0%","±2.0"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","2,298","±116","2,298","(X)","1,008","±65","1,008","(X)","1,714","±76","1,714","(X)"
"    Lacking complete plumbing facilities","0","±17","0.0%","±1.5","23","±36","2.3%","±3.6","23","±28","1.3%","±1.6"
"    Lacking complete kitchen facilities","16","±25","0.7%","±1.1","0","±12","0.0%","±3.4","0","±12","0.0%","±2.0"
"    No telephone service available","36","±42","1.6%","±1.8","26","±28","2.6%","±2.8","56","±40","3.3%","±2.4"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","2,298","±116","2,298","(X)","1,008","±65","1,008","(X)","1,714","±76","1,714","(X)"
"    1.00 or less","2,281","±122","99.3%","±0.9","1,008","±65","100.0%","±3.4","1,686","±75","98.4%","±1.2"
"    1.01 to 1.50","17","±22","0.7%","±0.9","0","±12","0.0%","±3.4","11","±15","0.6%","±0.9"
"    1.51 or more","0","±17","0.0%","±1.5","0","±12","0.0%","±3.4","17","±23","1.0%","±1.3"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","921","±173","921","(X)","508","±91","508","(X)","531","±102","531","(X)"
"    Less than $50,000","0","±17","0.0%","±3.7","0","±12","0.0%","±6.7","8","±12","1.5%","±2.2"
"    $50,000 to $99,999","0","±17","0.0%","±3.7","5","±9","1.0%","±1.6","0","±12","0.0%","±6.4"
"    $100,000 to $149,999","0","±17","0.0%","±3.7","11","±18","2.2%","±3.5","5","±8","0.9%","±1.6"
"    $150,000 to $199,999","52","±42","5.6%","±4.4","22","±31","4.3%","±6.0","5","±9","0.9%","±1.7"
"    $200,000 to $299,999","329","±124","35.7%","±11.5","149","±66","29.3%","±11.7","131","±52","24.7%","±9.0"
"    $300,000 to $499,999","408","±137","44.3%","±11.8","232","±79","45.7%","±13.6","291","±87","54.8%","±12.1"
"    $500,000 to $999,999","110","±56","11.9%","±5.7","89","±49","17.5%","±9.1","91","±69","17.1%","±12.5"
"    $1,000,000 or more","22","±41","2.4%","±4.4","0","±12","0.0%","±6.7","0","±12","0.0%","±6.4"
"    Median (dollars)","337,300","±44,281","(X)","(X)","350,400","±41,200","(X)","(X)","353,700","±23,966","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","921","±173","921","(X)","508","±91","508","(X)","531","±102","531","(X)"
"    Housing units with a mortgage","781","±155","84.8%","±7.7","421","±90","82.9%","±10.5","500","±101","94.2%","±5.6"
"    Housing units without a mortgage","140","±78","15.2%","±7.7","87","±55","17.1%","±10.5","31","±31","5.8%","±5.6"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","781","±155","781","(X)","421","±90","421","(X)","500","±101","500","(X)"
"    Less than $300","0","±17","0.0%","±4.4","0","±12","0.0%","±8.0","0","±12","0.0%","±6.8"
"    $300 to $499","16","±28","2.0%","±3.5","0","±12","0.0%","±8.0","0","±12","0.0%","±6.8"
"    $500 to $699","0","±17","0.0%","±4.4","0","±12","0.0%","±8.0","12","±19","2.4%","±3.9"
"    $700 to $999","44","±42","5.6%","±5.6","22","±31","5.2%","±7.2","8","±12","1.6%","±2.3"
"    $1,000 to $1,499","125","±76","16.0%","±9.9","66","±37","15.7%","±8.4","29","±29","5.8%","±5.6"
"    $1,500 to $1,999","176","±82","22.5%","±9.7","106","±55","25.2%","±12.8","84","±50","16.8%","±9.6"
"    $2,000 or more","420","±143","53.8%","±12.1","227","±75","53.9%","±12.1","367","±97","73.4%","±12.0"
"    Median (dollars)","2,093","±283","(X)","(X)","2,066","±215","(X)","(X)","2,340","±171","(X)","(X)"
"    Housing units without a mortgage","140","±78","140","(X)","87","±55","87","(X)","31","±31","31","(X)"
"    Less than $100","0","±17","0.0%","±21.9","0","±12","0.0%","±31.9","0","±12","0.0%","±55.3"
"    $100 to $199","0","±17","0.0%","±21.9","0","±12","0.0%","±31.9","0","±12","0.0%","±55.3"
"    $200 to $299","36","±41","25.7%","±25.9","0","±12","0.0%","±31.9","8","±12","25.8%","±44.1"
"    $300 to $399","0","±17","0.0%","±21.9","6","±9","6.9%","±10.8","0","±12","0.0%","±55.3"
"    $400 or more","104","±67","74.3%","±25.9","81","±56","93.1%","±10.8","23","±29","74.2%","±44.1"
"    Median (dollars)","600","±102","(X)","(X)","529","±273","(X)","(X)","642","±324","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","781","±155","781","(X)","421","±90","421","(X)","500","±101","500","(X)"
"    Less than 20.0 percent","372","±124","47.6%","±13.2","162","±87","38.5%","±16.5","122","±64","24.4%","±12.4"
"    20.0 to 24.9 percent","90","±61","11.5%","±7.5","45","±31","10.7%","±7.9","83","±46","16.6%","±8.1"
"    25.0 to 29.9 percent","72","±52","9.2%","±6.6","38","±33","9.0%","±7.6","101","±55","20.2%","±10.3"
"    30.0 to 34.9 percent","67","±51","8.6%","±5.9","23","±26","5.5%","±6.6","53","±41","10.6%","±8.1"
"    35.0 percent or more","180","±96","23.0%","±11.3","153","±63","36.3%","±13.6","141","±72","28.2%","±13.3"
