"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","2,470","±71","2,470","(X)","1,144","±26","1,144","(X)","1,847","±41","1,847","(X)"
"        Occupied housing units","2,352","±123","95.2%","±4.1","1,092","±64","95.5%","±4.8","1,741","±90","94.3%","±4.5"
"        Vacant housing units","118","±101","4.8%","±4.1","52","±55","4.5%","±4.8","106","±83","5.7%","±4.5"
"    Homeowner vacancy rate","0.0","±3.1","(X)","(X)","0.0","±7.4","(X)","(X)","0.0","±5.8","(X)","(X)"
"    Rental vacancy rate","1.1","±2.0","(X)","(X)","1.1","±1.7","(X)","(X)","0.0","±2.7","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","2,470","±71","2,470","(X)","1,144","±26","1,144","(X)","1,847","±41","1,847","(X)"
"        1-unit, detached","401","±130","16.2%","±5.3","110","±45","9.6%","±4.0","126","±53","6.8%","±2.8"
"        1-unit, attached","76","±67","3.1%","±2.7","0","±12","0.0%","±2.8","55","±36","3.0%","±2.0"
"        2 units","435","±140","17.6%","±5.6","182","±78","15.9%","±6.8","106","±48","5.7%","±2.7"
"        3 or 4 units","878","±177","35.5%","±7.2","469","±94","41.0%","±8.4","795","±109","43.0%","±5.9"
"        5 to 9 units","268","±126","10.9%","±5.1","187","±54","16.3%","±4.7","436","±110","23.6%","±5.9"
"        10 to 19 units","155","±84","6.3%","±3.4","80","±60","7.0%","±5.3","30","±28","1.6%","±1.5"
"        20 or more units","257","±136","10.4%","±5.5","116","±58","10.1%","±5.1","299","±81","16.2%","±4.3"
"        Mobile home","0","±17","0.0%","±1.3","0","±12","0.0%","±2.8","0","±12","0.0%","±1.7"
"        Boat, RV, van, etc.","0","±17","0.0%","±1.3","0","±12","0.0%","±2.8","0","±12","0.0%","±1.7"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","2,470","±71","2,470","(X)","1,144","±26","1,144","(X)","1,847","±41","1,847","(X)"
"        Built 2014 or later","0","±17","0.0%","±1.3","0","±12","0.0%","±2.8","0","±12","0.0%","±1.7"
"        Built 2010 to 2013","0","±17","0.0%","±1.3","0","±12","0.0%","±2.8","18","±23","1.0%","±1.2"
"        Built 2000 to 2009","126","±99","5.1%","±4.0","0","±12","0.0%","±2.8","22","±19","1.2%","±1.0"
