"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","2,425","±59","2,425","(X)","1,078","±27","1,078","(X)","1,769","±49","1,769","(X)"
"        Occupied housing units","2,330","±112","96.1%","±4.0","1,023","±58","94.9%","±4.7","1,710","±73","96.7%","±3.5"
"        Vacant housing units","95","±98","3.9%","±4.0","55","±51","5.1%","±4.7","59","±61","3.3%","±3.5"
"    Homeowner vacancy rate","0.0","±3.8","(X)","(X)","0.0","±7.7","(X)","(X)","0.0","±5.5","(X)","(X)"
"    Rental vacancy rate","1.9","±3.2","(X)","(X)","1.2","±1.9","(X)","(X)","0.0","±3.1","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","2,425","±59","2,425","(X)","1,078","±27","1,078","(X)","1,769","±49","1,769","(X)"
"        1-unit, detached","398","±110","16.4%","±4.6","81","±50","7.5%","±4.7","148","±74","8.4%","±4.2"
"        1-unit, attached","126","±95","5.2%","±3.9","13","±20","1.2%","±1.9","53","±40","3.0%","±2.2"
"        2 units","298","±109","12.3%","±4.5","195","±65","18.1%","±6.0","142","±64","8.0%","±3.6"
"        3 or 4 units","803","±139","33.1%","±5.6","338","±93","31.4%","±8.4","834","±119","47.1%","±6.8"
"        5 to 9 units","268","±112","11.1%","±4.7","284","±85","26.3%","±7.9","374","±102","21.1%","±5.7"
"        10 to 19 units","257","±139","10.6%","±5.7","94","±50","8.7%","±4.6","36","±42","2.0%","±2.3"
"        20 or more units","275","±107","11.3%","±4.4","73","±30","6.8%","±2.7","182","±65","10.3%","±3.6"
"        Mobile home","0","±17","0.0%","±1.4","0","±12","0.0%","±3.2","0","±12","0.0%","±2.0"
"        Boat, RV, van, etc.","0","±17","0.0%","±1.4","0","±12","0.0%","±3.2","0","±12","0.0%","±2.0"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","2,425","±59","2,425","(X)","1,078","±27","1,078","(X)","1,769","±49","1,769","(X)"
"        Built 2010 or later","0","±17","0.0%","±1.4","0","±12","0.0%","±3.2","19","±23","1.1%","±1.3"
"        Built 2000 to 2009","305","±156","12.6%","±6.5","11","±21","1.0%","±1.9","56","±36","3.2%","±2.0"
"        Built 1990 to 1999","84","±52","3.5%","±2.1","8","±11","0.7%","±1.0","45","±42","2.5%","±2.4"
"        Built 1980 to 1989","154","±99","6.4%","±4.0","7","±11","0.6%","±1.0","162","±104","9.2%","±5.8"
"        Built 1970 to 1979","139","±91","5.7%","±3.7","26","±27","2.4%","±2.5","122","±70","6.9%","±3.9"
"        Built 1960 to 1969","97","±75","4.0%","±3.1","120","±73","11.1%","±6.8","43","±32","2.4%","±1.8"
"        Built 1950 to 1959","120","±74","4.9%","±3.0","178","±89","16.5%","±8.1","247","±122","14.0%","±6.9"
"        Built 1940 to 1949","152","±65","6.3%","±2.7","93","±56","8.6%","±5.2","37","±28","2.1%","±1.6"
"        Built 1939 or earlier","1,374","±217","56.7%","±8.6","635","±102","58.9%","±9.5","1,038","±127","58.7%","±7.1"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","2,425","±59","2,425","(X)","1,078","±27","1,078","(X)","1,769","±49","1,769","(X)"
"        1 room","94","±84","3.9%","±3.5","6","±10","0.6%","±0.9","92","±65","5.2%","±3.7"
"        2 rooms","26","±29","1.1%","±1.2","13","±15","1.2%","±1.4","25","±24","1.4%","±1.4"
"        3 rooms","257","±113","10.6%","±4.7","132","±62","12.2%","±5.8","175","±78","9.9%","±4.4"
"        4 rooms","500","±179","20.6%","±7.5","317","±102","29.4%","±9.1","451","±125","25.5%","±6.9"
"        5 rooms","723","±178","29.8%","±7.2","317","±93","29.4%","±8.7","654","±119","37.0%","±6.7"
"        6 rooms","419","±119","17.3%","±4.9","161","±54","14.9%","±4.9","280","±94","15.8%","±5.4"
"        7 rooms","141","±90","5.8%","±3.7","56","±42","5.2%","±3.9","27","±33","1.5%","±1.9"
"        8 rooms","135","±85","5.6%","±3.5","14","±23","1.3%","±2.1","18","±27","1.0%","±1.5"
