"Label (Grouping)","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error"
"Total population","5,305","±432","1,729","±331","2,009","±305","61","±53","3,592","±317","812","±214","1,782","±209","60","±44","5,500","±385","1,903","±269","2,613","±278","125","±53","1,392","±127","311","±63","590","±116","38","±28"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","3.5%","±2.2","10.7%","±7.1","0.0%","±1.7","0.0%","±39.4","0.3%","±0.4","0.0%","±4.2","0.0%","±1.9","0.0%","±39.7","0.0%","±0.6","0.0%","±1.8","0.0%","±1.3","0.0%","±24.1","1.9%","±1.2","8.4%","±5.0","0.0%","±5.8","0.0%","±49.9"
"        5 to 17 years","5.1%","±2.4","13.9%","±6.5","1.1%","±1.6","1.6%","±5.5","0.2%","±0.4","0.0%","±4.2","0.3%","±0.7","0.0%","±39.7","2.6%","±0.5","6.4%","±1.0","0.0%","±1.3","0.0%","±24.1","0.4%","±0.5","1.6%","±2.1","0.0%","±5.8","0.0%","±49.9"
"        18 to 24 years","20.2%","±6.4","12.3%","±6.5","24.8%","±9.4","39.3%","±44.1","65.1%","±6.0","55.5%","±13.7","75.8%","±5.7","100.0%","±39.7","86.4%","±2.3","89.9%","±2.4","91.7%","±3.4","45.6%","±22.5","19.3%","±5.6","13.5%","±6.4","25.4%","±11.1","7.9%","±14.1"
"        25 to 44 years","39.3%","±6.9","29.3%","±8.0","46.3%","±11.3","0.0%","±39.4","29.3%","±5.9","36.3%","±14.2","19.8%","±5.5","0.0%","±39.7","8.9%","±2.4","2.8%","±1.9","7.6%","±3.3","47.2%","±20.9","63.4%","±6.1","55.6%","±10.6","63.6%","±11.7","63.2%","±33.6"
"        45 to 54 years","7.2%","±2.8","7.9%","±4.4","7.9%","±4.3","41.0%","±46.2","2.1%","±1.2","4.2%","±4.4","1.5%","±1.3","0.0%","±39.7","0.9%","±0.2","0.2%","±0.2","0.2%","±0.2","0.0%","±24.1","4.8%","±2.0","5.5%","±4.7","3.7%","±2.6","15.8%","±23.7"
"        55 to 64 years","7.8%","±2.8","9.6%","±4.5","6.7%","±4.2","0.0%","±39.4","2.1%","±1.7","3.9%","±6.2","1.3%","±1.2","0.0%","±39.7","0.7%","±0.5","0.7%","±0.7","0.5%","±0.9","0.0%","±24.1","6.8%","±3.2","10.6%","±8.5","5.1%","±3.8","0.0%","±49.9"
"        65 to 74 years","12.0%","±3.7","10.8%","±6.1","10.1%","±4.5","18.0%","±33.3","0.7%","±0.6","0.0%","±4.2","0.8%","±1.0","0.0%","±39.7","0.3%","±0.2","0.0%","±1.8","0.0%","±1.3","7.2%","±6.2","2.8%","±2.0","4.8%","±7.3","2.2%","±2.0","13.2%","±20.6"
"        75 years and over","4.8%","±2.0","5.4%","±3.9","3.0%","±2.3","0.0%","±39.4","0.3%","±0.4","0.0%","±4.2","0.5%","±0.8","0.0%","±39.7","0.1%","±0.1","0.1%","±0.3","0.0%","±1.3","0.0%","±24.1","0.6%","±0.9","0.0%","±10.6","0.0%","±5.8","0.0%","±49.9"
"        Median age (years)","32.0","±4.3","27.7","±5.9","30.2","±4.2","45.2","±42.2","21.6","±0.4","21.9","±3.3","21.1","±0.5","20.0","±0.6","20.0","±0.2","19.7","±0.2","20.0","±0.3","34.3","±18.7","29.1","±0.7","29.3","±1.1","28.2","±0.9","30.2","±10.4"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","50.9%","±4.8","53.6%","±9.0","48.3%","±7.0","19.7%","±34.1","43.8%","±6.0","38.7%","±12.5","43.9%","±7.3","35.0%","±30.1","35.3%","±4.1","36.1%","±5.9","34.6%","±5.3","18.4%","±19.4","42.9%","±5.0","46.6%","±11.4","42.9%","±6.6","86.8%","±16.7"
"        Female","49.1%","±4.8","46.4%","±9.0","51.7%","±7.0","80.3%","±34.1","56.2%","±6.0","61.3%","±12.5","56.1%","±7.3","65.0%","±30.1","64.7%","±4.1","63.9%","±5.9","65.4%","±5.3","81.6%","±19.4","57.1%","±5.0","53.4%","±11.4","57.1%","±6.6","13.2%","±16.7"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","93.3%","±4.1","88.8%","±8.1","95.8%","±3.3","100.0%","±39.4","95.1%","±2.0","95.7%","±4.4","93.9%","±3.4","88.3%","±20.2","96.9%","±1.2","99.5%","±0.8","95.9%","±2.1","97.6%","±3.6","97.8%","±1.4","96.5%","±3.7","96.9%","±2.4","100.0%","±49.9"
"            White","73.4%","±6.1","77.1%","±9.2","83.3%","±5.8","60.7%","±44.1","63.6%","±5.3","78.6%","±9.3","73.7%","±6.2","33.3%","±31.3","75.1%","±3.5","93.5%","±2.8","78.5%","±5.0","21.6%","±20.2","66.2%","±6.9","85.5%","±8.3","68.1%","±13.7","100.0%","±49.9"
"            Black or African American","1.8%","±1.1","2.3%","±1.9","1.4%","±1.7","0.0%","±39.4","2.7%","±1.9","3.9%","±6.2","3.3%","±2.5","0.0%","±39.7","5.6%","±2.1","2.7%","±1.9","5.4%","±2.8","0.0%","±24.1","8.0%","±4.6","3.2%","±3.1","13.9%","±9.9","0.0%","±49.9"
"            American Indian and Alaska Native","0.0%","±0.7","0.0%","±2.0","0.0%","±1.7","0.0%","±39.4","0.5%","±0.7","2.0%","±3.3","0.1%","±0.1","0.0%","±39.7","0.0%","±0.6","0.0%","±1.8","0.0%","±1.3","0.0%","±24.1","0.0%","±2.5","0.0%","±10.6","0.0%","±5.8","0.0%","±49.9"
"            Asian","11.1%","±3.5","4.9%","±5.3","7.4%","±4.3","29.5%","±42.6","25.6%","±4.7","6.7%","±4.4","13.5%","±4.9","55.0%","±33.3","12.4%","±2.7","3.3%","±2.1","7.7%","±3.2","19.2%","±19.0","20.9%","±4.5","5.5%","±7.3","13.2%","±6.0","0.0%","±49.9"
