"Label (Grouping)","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error"
"Total population","5,523","±666","1,322","±279","2,205","±433","0","±19","3,474","±413","1,066","±217","1,651","±367","82","±50","3,952","±575","752","±299","1,597","±443","88","±81","2,039","±687","596","±438","856","±383","127","±175","5,374","±815","1,792","±447","2,766","±518","70","±44","1,350","±185","278","±81","630","±173","37","±31"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","6.7%","±2.5","17.7%","±8.6","0.0%","±1.8","-","**","0.0%","±1.1","0.0%","±3.7","0.0%","±2.4","0.0%","±36.1","2.1%","±2.3","5.7%","±8.0","0.0%","±2.5","0.0%","±34.6","0.0%","±1.9","0.0%","±6.5","0.0%","±4.6","0.0%","±26.5","0.4%","±0.6","1.2%","±1.7","0.0%","±1.4","0.0%","±39.3","1.1%","±1.1","5.4%","±5.8","0.0%","±6.1","0.0%","±54.1"
"        5 to 17 years","8.4%","±3.7","12.5%","±6.7","1.1%","±1.6","-","**","0.5%","±0.6","0.0%","±3.7","1.1%","±1.3","0.0%","±36.1","3.9%","±3.8","18.8%","±18.6","0.8%","±1.3","0.0%","±34.6","3.9%","±5.9","0.0%","±6.5","0.1%","±0.6","61.4%","±24.2","1.6%","±1.3","0.5%","±1.0","1.9%","±2.1","0.0%","±39.3","1.3%","±1.7","6.1%","±7.7","0.0%","±6.1","0.0%","±54.1"
"        18 to 24 years","18.5%","±6.4","12.0%","±7.4","26.3%","±11.3","-","**","67.8%","±5.5","57.5%","±11.2","79.6%","±6.3","90.2%","±22.5","17.6%","±5.8","11.2%","±7.5","13.7%","±8.8","0.0%","±34.6","25.6%","±11.1","18.8%","±18.0","36.2%","±18.1","12.6%","±35.0","89.9%","±2.3","94.0%","±3.9","90.8%","±3.9","37.1%","±39.1","23.3%","±7.6","22.3%","±11.8","32.1%","±15.1","10.8%","±17.4"
"        25 to 44 years","37.6%","±5.9","27.8%","±8.6","41.7%","±9.9","-","**","22.2%","±4.6","24.4%","±11.1","18.0%","±6.2","0.0%","±36.1","63.9%","±8.2","43.6%","±22.4","72.8%","±11.4","48.9%","±51.1","62.7%","±13.1","80.7%","±18.1","55.6%","±18.3","26.0%","±11.7","7.1%","±1.9","3.3%","±2.7","6.8%","±3.3","30.0%","±33.6","61.7%","±7.9","43.9%","±10.2","61.0%","±14.4","75.7%","±32.9"
"        45 to 54 years","7.2%","±2.8","4.3%","±4.5","8.3%","±4.3","-","**","5.4%","±3.2","8.7%","±9.9","0.5%","±0.7","0.0%","±36.1","2.8%","±2.5","7.8%","±12.4","1.6%","±2.0","10.2%","±20.6","6.0%","±6.3","0.0%","±6.5","7.8%","±7.0","0.0%","±26.5","0.3%","±0.2","0.0%","±2.2","0.4%","±0.4","0.0%","±39.3","3.9%","±2.1","5.4%","±5.0","1.4%","±1.8","13.5%","±27.4"
"        55 to 64 years","9.2%","±4.2","7.7%","±6.4","6.3%","±5.1","-","**","1.9%","±1.7","3.1%","±4.9","0.2%","±0.4","9.8%","±22.5","3.8%","±2.0","0.0%","±5.2","8.0%","±5.4","0.0%","±34.6","0.2%","±0.4","0.5%","±1.4","0.2%","±0.6","0.0%","±26.5","0.2%","±0.3","0.4%","±0.6","0.1%","±0.2","0.0%","±39.3","5.9%","±3.2","15.8%","±10.0","3.3%","±3.1","0.0%","±54.1"
"        65 to 74 years","8.0%","±2.6","10.4%","±5.9","12.7%","±4.5","-","**","1.1%","±0.1","3.5%","±0.7","0.0%","±2.4","0.0%","±36.1","3.7%","±2.1","10.5%","±9.0","3.1%","±2.7","3.4%","±7.8","0.0%","±1.9","0.0%","±6.5","0.0%","±4.6","0.0%","±26.5","0.3%","±0.2","0.2%","±0.4","0.0%","±1.4","14.3%","±16.3","1.3%","±1.2","1.1%","±1.6","2.2%","±2.5","0.0%","±54.1"
"        75 years and over","4.4%","±2.2","7.6%","±4.6","3.5%","±2.3","-","**","1.1%","±1.3","2.8%","±3.9","0.5%","±0.8","0.0%","±36.1","2.1%","±1.6","2.4%","±3.6","0.0%","±2.5","37.5%","±55.2","1.6%","±2.7","0.0%","±6.5","0.0%","±4.6","0.0%","±26.5","0.3%","±0.4","0.2%","±0.3","0.0%","±1.4","18.6%","±25.6","1.5%","±1.6","0.0%","±13.4","0.0%","±6.1","0.0%","±54.1"
"        Median age (years)","32.3","±1.3","32.0","±6.8","32.2","±3.6","-","**","21.4","±0.5","21.7","±2.1","20.8","±0.5","21.0","±2.4","30.9","±1.9","28.1","±6.2","31.8","±2.1","45.1","±83.6","29.7","±3.1","32.3","±1.1","29.1","±5.6","14.6","±9.0","19.9","±0.2","19.7","±0.3","19.8","±0.3","27.7","±17.6","28.2","±1.6","29.1","±2.6","26.5","±1.0","29.8","±0.8"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","41.6%","±5.8","39.2%","±11.0","45.8%","±10.0","-","**","42.8%","±6.7","38.5%","±11.7","39.7%","±9.3","35.4%","±29.8","47.9%","±6.0","59.3%","±16.6","44.0%","±12.4","100.0%","±34.6","57.5%","±15.2","70.8%","±19.8","56.2%","±22.3","100.0%","±26.5","37.5%","±3.9","36.6%","±8.9","37.1%","±5.1","14.3%","±19.3","42.5%","±7.4","47.1%","±14.3","35.9%","±11.8","89.2%","±15.8"
"        Female","58.4%","±5.8","60.8%","±11.0","54.2%","±10.0","-","**","57.2%","±6.7","61.5%","±11.7","60.3%","±9.3","64.6%","±29.8","52.1%","±6.0","40.7%","±16.6","56.0%","±12.4","0.0%","±34.6","42.5%","±15.2","29.2%","±19.8","43.8%","±22.3","0.0%","±26.5","62.5%","±3.9","63.4%","±8.9","62.9%","±5.1","85.7%","±19.3","57.5%","±7.4","52.9%","±14.3","64.1%","±11.8","10.8%","±15.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","91.8%","±3.9","85.2%","±9.6","96.0%","±2.1","-","**","95.2%","±2.0","95.6%","±3.5","94.4%","±3.6","91.5%","±12.4","88.9%","±8.9","68.0%","±26.3","93.6%","±6.1","100.0%","±34.6","100.0%","±1.9","100.0%","±6.5","100.0%","±4.6","100.0%","±26.5","94.3%","±2.0","95.1%","±2.8","94.7%","±2.5","60.0%","±38.7","98.2%","±1.3","94.6%","±5.1","99.7%","±0.5","100.0%","±54.1"
"            White","63.8%","±7.8","68.7%","±13.7","79.3%","±6.9","-","**","70.5%","±6.1","78.9%","±10.0","77.9%","±6.5","39.0%","±31.1","52.0%","±8.9","51.6%","±22.0","76.9%","±9.7","37.5%","±55.2","67.8%","±21.0","61.4%","±47.1","78.3%","±20.9","12.6%","±35.0","71.7%","±4.2","87.1%","±5.1","75.6%","±5.4","25.7%","±24.2","67.0%","±9.8","70.5%","±17.7","74.8%","±13.6","100.0%","±54.1"
"            Black or African American","4.1%","±3.2","9.6%","±11.0","3.7%","±3.5","-","**","3.4%","±2.2","5.2%","±5.4","3.6%","±2.9","0.0%","±36.1","4.0%","±2.2","6.8%","±6.1","6.6%","±4.5","3.4%","±7.8","13.4%","±16.6","38.6%","±47.1","5.0%","±7.2","0.0%","±26.5","6.6%","±2.4","4.0%","±2.8","6.8%","±3.3","11.4%","±20.3","12.3%","±7.8","14.0%","±21.5","14.4%","±10.6","0.0%","±54.1"
"            American Indian and Alaska Native","0.0%","±0.7","0.0%","±3.0","0.0%","±1.8","-","**","0.0%","±1.1","0.0%","±3.7","0.0%","±2.4","0.0%","±36.1","0.2%","±0.3","0.0%","±5.2","0.4%","±0.8","0.0%","±34.6","1.2%","±2.1","0.0%","±6.5","2.8%","±4.9","0.0%","±26.5","0.0%","±0.1","0.0%","±2.2","0.0%","±0.2","0.0%","±39.3","0.0%","±2.9","0.0%","±13.4","0.0%","±6.1","0.0%","±54.1"
"            Asian","22.2%","±6.7","5.9%","±4.8","11.0%","±4.9","-","**","17.8%","±4.7","4.1%","±3.9","11.0%","±4.3","52.4%","±32.6","30.5%","±9.0","9.6%","±13.1","7.5%","±5.2","0.0%","±34.6","11.8%","±11.6","0.0%","±6.5","0.0%","±4.6","87.4%","±35.0","13.0%","±3.3","3.6%","±2.6","8.1%","±3.2","0.0%","±39.3","16.7%","±5.4","8.3%","±7.4","9.7%","±5.9","0.0%","±54.1"
"            Native Hawaiian and Other Pacific Islander","0.0%","±0.7","0.0%","±3.0","0.0%","±1.8","-","**","0.0%","±1.1","0.0%","±3.7","0.0%","±2.4","0.0%","±36.1","0.0%","±1.0","0.0%","±5.2","0.0%","±2.5","0.0%","±34.6","0.0%","±1.9","0.0%","±6.5","0.0%","±4.6","0.0%","±26.5","0.0%","±0.7","0.0%","±2.2","0.0%","±1.4","0.0%","±39.3","0.0%","±2.9","0.0%","±13.4","0.0%","±6.1","0.0%","±54.1"
"            Some other race","1.8%","±2.0","1.1%","±1.7","2.0%","±2.6","-","**","3.4%","±2.4","7.4%","±6.8","1.9%","±1.6","0.0%","±36.1","2.2%","±2.1","0.0%","±5.2","2.1%","±3.4","59.1%","±56.0","5.8%","±9.1","0.0%","±6.5","13.9%","±20.1","0.0%","±26.5","3.1%","±1.6","0.4%","±0.6","4.2%","±3.2","22.9%","±32.2","2.3%","±1.7","1.8%","±2.9","0.8%","±1.3","0.0%","±54.1"
"        Two or more races","8.2%","±3.9","14.8%","±9.6","4.0%","±2.1","-","**","4.8%","±2.0","4.4%","±3.5","5.6%","±3.6","8.5%","±12.4","11.1%","±8.9","32.0%","±26.3","6.4%","±6.1","0.0%","±34.6","0.0%","±1.9","0.0%","±6.5","0.0%","±4.6","0.0%","±26.5","5.7%","±2.0","4.9%","±2.8","5.3%","±2.5","40.0%","±38.7","1.8%","±1.3","5.4%","±5.1","0.3%","±0.5","0.0%","±54.1"
"        Hispanic or Latino origin (of any race)","8.9%","±5.5","6.4%","±6.6","7.3%","±5.5","-","**","10.8%","±3.6","10.6%","±7.4","11.0%","±4.6","2.4%","±6.6","8.3%","±4.0","2.1%","±3.8","11.0%","±7.9","62.5%","±55.2","28.2%","±19.5","44.6%","±45.4","25.7%","±20.1","0.0%","±26.5","7.4%","±1.7","5.2%","±3.2","7.0%","±2.3","74.3%","±28.8","8.5%","±3.6","6.1%","±6.5","3.3%","±2.6","27.0%","±34.9"
"        White alone, not Hispanic or Latino","59.7%","±7.5","63.3%","±11.8","74.6%","±8.3","-","**","64.5%","±6.4","77.3%","±10.0","70.0%","±7.3","39.0%","±31.1","48.0%","±9.0","49.5%","±22.0","72.6%","±12.1","37.5%","±55.2","55.4%","±22.1","55.4%","±45.4","63.3%","±24.5","12.6%","±35.0","68.6%","±4.3","84.4%","±5.9","73.3%","±5.4","0.0%","±39.3","61.2%","±9.5","66.2%","±15.9","72.2%","±13.7","73.0%","±34.9"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 5 years and over","5,154","±635","1,088","±237","2,205","±433","0","±19","3,474","±413","1,066","±217","1,651","±367","82","±50","3,869","±519","709","±261","1,597","±443","88","±81","2,039","±687","596","±438","856","±383","127","±175","5,352","±813","1,770","±442","2,766","±518","70","±44","1,335","±184","263","±83","630","±173","37","±31"
