"Label (Grouping)","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error"
"Total population","5,092","±550","1,420","±275","2,195","±391","18","±28","3,739","±331","1,043","±228","1,705","±252","85","±52","3,886","±592","748","±269","1,605","±501","85","±75","1,967","±727","559","±442","870","±398","17","±26","5,459","±768","1,941","±429","2,726","±493","50","±41","1,403","±205","330","±108","645","±186","42","±30"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","6.0%","±2.5","18.5%","±8.1","0.0%","±1.8","0.0%","±77.5","0.7%","±0.2","0.0%","±3.8","0.0%","±2.3","0.0%","±35.4","4.3%","±3.4","7.0%","±8.8","0.4%","±1.3","0.0%","±35.4","0.0%","±2.0","0.0%","±6.9","0.0%","±4.5","0.0%","±79.8","0.4%","±0.6","1.1%","±1.6","0.0%","±1.5","0.0%","±46.5","1.4%","±1.2","5.8%","±5.5","0.0%","±6.0","0.0%","±50.8"
"        5 to 17 years","7.6%","±3.0","11.1%","±6.3","1.8%","±1.6","0.0%","±77.5","0.4%","±0.5","0.0%","±3.8","0.8%","±1.1","0.0%","±35.4","4.1%","±3.8","19.4%","±17.7","0.9%","±1.4","0.0%","±35.4","0.1%","±0.2","0.0%","±6.9","0.1%","±0.4","0.0%","±79.8","1.1%","±1.1","0.0%","±2.0","1.5%","±1.7","0.0%","±46.5","2.8%","±3.2","11.8%","±10.9","0.0%","±6.0","0.0%","±50.8"
"        18 to 24 years","22.1%","±5.0","13.7%","±7.9","31.4%","±8.2","100.0%","±77.5","64.7%","±6.4","56.1%","±11.4","76.1%","±7.1","87.1%","±27.7","15.9%","±5.8","10.7%","±7.5","15.8%","±9.1","9.4%","±18.7","29.2%","±12.2","19.0%","±18.8","37.5%","±19.6","100.0%","±79.8","90.0%","±2.6","94.3%","±3.7","90.8%","±3.7","62.0%","±37.6","20.7%","±7.6","15.5%","±6.1","25.9%","±15.7","31.0%","±31.0"
"        25 to 44 years","32.8%","±4.7","23.2%","±8.6","37.1%","±8.4","0.0%","±77.5","25.0%","±5.9","26.6%","±11.4","19.8%","±7.0","0.0%","±35.4","61.7%","±7.7","42.0%","±21.9","69.5%","±12.7","38.8%","±49.1","60.9%","±15.1","76.2%","±18.5","52.9%","±20.5","0.0%","±79.8","7.1%","±2.2","3.3%","±2.6","6.8%","±3.3","0.0%","±46.5","62.4%","±9.0","46.4%","±13.0","65.7%","±14.7","57.1%","±36.5"
"        45 to 54 years","8.4%","±3.1","7.0%","±5.1","7.4%","±3.6","0.0%","±77.5","4.5%","±3.3","10.7%","±10.8","1.1%","±1.3","0.0%","±35.4","3.3%","±3.0","7.9%","±12.3","2.1%","±2.4","8.2%","±21.4","5.7%","±5.9","0.0%","±6.9","6.9%","±6.3","0.0%","±79.8","0.3%","±0.2","0.0%","±2.0","0.4%","±0.4","0.0%","±46.5","4.4%","±2.2","7.6%","±5.9","2.3%","±2.1","11.9%","±20.4"
"        55 to 64 years","9.5%","±4.6","12.2%","±7.3","5.2%","±3.8","0.0%","±77.5","2.9%","±2.3","3.3%","±5.1","1.1%","±1.2","12.9%","±27.7","5.0%","±3.1","7.8%","±10.3","8.1%","±5.5","0.0%","±35.4","2.5%","±3.7","4.8%","±9.5","2.6%","±4.0","0.0%","±79.8","0.7%","±0.5","1.0%","±1.0","0.5%","±0.7","0.0%","±46.5","6.0%","±3.4","12.1%","±8.8","4.0%","±4.5","0.0%","±50.8"
"        65 to 74 years","9.4%","±3.0","7.9%","±4.3","14.8%","±5.9","0.0%","±77.5","0.6%","±0.6","0.0%","±3.8","0.5%","±0.8","0.0%","±35.4","3.1%","±2.1","2.7%","±4.3","3.2%","±3.1","0.0%","±35.4","0.0%","±2.0","0.0%","±6.9","0.0%","±4.5","0.0%","±79.8","0.1%","±0.2","0.0%","±2.0","0.0%","±1.5","16.0%","±24.0","1.8%","±1.8","0.9%","±1.4","2.0%","±3.2","0.0%","±50.8"
"        75 years and over","4.3%","±2.2","6.4%","±4.4","2.3%","±2.0","0.0%","±77.5","1.2%","±1.3","3.4%","±4.4","0.6%","±0.9","0.0%","±35.4","2.5%","±1.6","2.7%","±4.1","0.0%","±2.5","43.5%","±48.9","1.6%","±2.7","0.0%","±6.9","0.0%","±4.5","0.0%","±79.8","0.3%","±0.4","0.3%","±0.3","0.0%","±1.5","22.0%","±35.7","0.6%","±0.9","0.0%","±11.4","0.0%","±6.0","0.0%","±50.8"
