"Label (Grouping)","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error"
"Total population","5,021","±489","1,659","±302","2,036","±338","26","±34","3,810","±260","955","±212","1,855","±224","75","±57","5,351","±429","1,866","±309","2,594","±336","71","±46","1,497","±176","410","±139","586","±113","33","±29"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","6.1%","±2.5","17.4%","±7.7","0.0%","±1.7","0.0%","±60.4","0.2%","±0.4","0.0%","±3.6","0.0%","±1.9","0.0%","±35.2","0.1%","±0.2","0.4%","±0.6","0.0%","±1.3","0.0%","±36.4","1.2%","±0.9","4.4%","±4.1","0.0%","±5.8","0.0%","±53.6"
"        5 to 17 years","4.4%","±2.5","9.8%","±6.8","0.7%","±1.3","0.0%","±60.4","0.1%","±0.3","0.0%","±3.6","0.3%","±0.6","0.0%","±35.2","0.8%","±0.8","0.0%","±1.9","1.1%","±1.4","0.0%","±36.4","4.3%","±4.3","15.6%","±12.5","0.0%","±5.8","0.0%","±53.6"
"        18 to 24 years","19.4%","±5.6","11.9%","±5.8","24.9%","±7.5","61.5%","±61.3","66.1%","±5.4","51.5%","±11.8","77.1%","±5.4","80.0%","±41.4","89.1%","±2.2","96.0%","±2.1","90.4%","±3.7","69.0%","±24.8","20.3%","±5.0","14.6%","±5.1","24.7%","±9.5","6.1%","±16.9"
"        25 to 44 years","39.2%","±6.0","29.7%","±8.1","43.9%","±9.7","0.0%","±60.4","27.8%","±5.7","39.1%","±12.3","19.4%","±5.4","0.0%","±35.2","8.0%","±2.2","2.0%","±1.3","7.5%","±3.5","0.0%","±36.4","58.0%","±8.0","45.4%","±11.6","62.3%","±12.5","78.8%","±31.5"
"        45 to 54 years","7.1%","±3.3","6.9%","±4.2","8.1%","±4.1","0.0%","±60.4","2.2%","±1.8","4.3%","±4.5","1.1%","±1.2","0.0%","±35.2","0.6%","±0.5","0.0%","±1.9","0.6%","±0.6","0.0%","±36.4","6.6%","±2.8","6.8%","±5.2","3.8%","±2.9","15.2%","±24.5"
"        55 to 64 years","7.3%","±2.8","9.2%","±4.8","7.7%","±4.5","0.0%","±60.4","2.4%","±2.0","4.0%","±6.5","1.1%","±1.2","20.0%","±41.4","0.7%","±0.6","1.2%","±1.4","0.4%","±0.6","0.0%","±36.4","6.4%","±3.7","10.2%","±8.3","6.0%","±5.8","0.0%","±53.6"
"        65 to 74 years","11.2%","±3.4","9.2%","±3.6","12.1%","±5.3","38.5%","±61.3","0.6%","±0.7","0.0%","±3.6","0.5%","±0.8","0.0%","±35.2","0.3%","±0.3","0.0%","±1.9","0.0%","±1.3","15.5%","±20.1","2.7%","±2.2","2.9%","±5.0","3.2%","±4.0","0.0%","±53.6"
"        75 years and over","5.2%","±2.7","6.1%","±4.2","2.6%","±2.2","0.0%","±60.4","0.6%","±0.6","1.2%","±1.8","0.5%","±0.9","0.0%","±35.2","0.3%","±0.3","0.3%","±0.5","0.0%","±1.3","15.5%","±22.4","0.5%","±0.8","0.0%","±8.2","0.0%","±5.8","0.0%","±53.6"
"        Median age (years)","30.7","±3.1","28.4","±5.4","31.8","±3.6","-","**","21.5","±0.5","24.4","±4.9","21.0","±0.4","20.7","±15.7","20.0","±0.3","19.8","±0.3","20.1","±0.3","19.9","±1.3","29.2","±0.8","29.3","±1.5","28.4","±0.8","30.1","±1.0"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","47.9%","±4.3","43.4%","±8.8","50.8%","±6.0","38.5%","±61.3","44.6%","±5.6","39.8%","±10.2","45.2%","±6.4","53.3%","±38.7","35.5%","±3.7","34.2%","±5.5","35.7%","±5.4","7.0%","±13.4","45.1%","±6.1","49.0%","±11.2","44.2%","±8.1","81.8%","±22.3"
"        Female","52.1%","±4.3","56.6%","±8.8","49.2%","±6.0","61.5%","±61.3","55.4%","±5.6","60.2%","±10.2","54.8%","±6.4","46.7%","±38.7","64.5%","±3.7","65.8%","±5.5","64.3%","±5.4","93.0%","±13.4","54.9%","±6.1","51.0%","±11.2","55.8%","±8.1","18.2%","±22.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","92.3%","±3.8","84.7%","±9.0","96.3%","±2.7","100.0%","±60.4","96.2%","±1.8","97.4%","±2.7","96.0%","±2.1","86.7%","±18.3","96.3%","±1.3","97.7%","±1.6","95.9%","±2.1","90.1%","±21.9","97.7%","±1.3","96.6%","±4.0","96.9%","±2.5","100.0%","±53.6"
"            White","60.7%","±6.1","59.8%","±11.3","77.2%","±6.5","38.5%","±61.3","69.1%","±5.3","82.0%","±9.0","75.6%","±6.0","42.7%","±39.9","74.7%","±3.4","91.4%","±3.6","79.1%","±4.6","43.7%","±31.9","65.2%","±9.7","65.4%","±22.8","70.5%","±13.7","100.0%","±53.6"
"            Black or African American","4.5%","±3.7","8.0%","±9.5","3.5%","±3.6","0.0%","±60.4","2.9%","±2.1","4.8%","±6.5","3.2%","±2.6","0.0%","±35.2","5.6%","±1.9","2.9%","±2.0","5.3%","±2.8","0.0%","±36.4","12.8%","±9.3","24.9%","±26.9","13.0%","±9.9","0.0%","±53.6"
"            American Indian and Alaska Native","0.0%","±0.7","0.0%","±2.1","0.0%","±1.7","0.0%","±60.4","0.7%","±1.0","2.6%","±4.0","0.1%","±0.2","0.0%","±35.2","0.0%","±0.7","0.0%","±1.9","0.0%","±1.3","0.0%","±36.4","0.0%","±2.3","0.0%","±8.2","0.0%","±5.8","0.0%","±53.6"
